Frame Number,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y
0,1035.0,489.0,1288.0,494.0
1,1036.0,488.0,1288.0,492.0
2,1036.0,487.0,1289.0,492.0
3,1036.0,486.0,1290.0,491.0
4,1037.0,487.0,1291.0,491.0
5,1037.0,487.0,1291.0,492.0
6,1038.0,488.0,1291.0,492.0
7,1039.0,488.0,1291.0,493.0
8,1038.0,489.0,1290.0,493.0
9,1038.0,489.0,1290.0,494.0
10,1037.0,490.0,1290.0,494.0
11,1036.0,491.0,1289.0,494.0
12,1035.0,493.0,1288.0,497.0
13,1035.0,494.0,1287.0,496.0
14,1035.0,497.0,1287.0,499.0
15,1034.0,500.0,1286.0,501.0
16,1034.0,500.0,1286.0,502.0
17,1033.0,501.0,1285.0,502.0
18,1032.0,502.0,1285.0,505.0
19,1032.0,503.0,1284.0,504.0
20,1030.0,504.0,1283.0,506.0
21,1030.0,504.0,1282.0,506.0
22,1029.0,504.0,1282.0,507.0
23,1029.0,504.0,1280.0,508.0
24,1028.0,506.0,1279.0,508.0
25,1027.0,507.0,1279.0,509.0
26,1026.0,507.0,1279.0,509.0
27,1026.0,507.0,1278.0,510.0
28,1025.0,509.0,1278.0,511.0
29,1025.0,508.0,1277.0,510.0
30,1024.0,509.0,1277.0,511.0
31,1023.0,511.0,1276.0,512.0
32,1022.0,510.0,1276.0,512.0
33,1022.0,510.0,1275.0,512.0
34,1022.0,508.0,1275.0,511.0
35,1022.0,509.0,1275.0,510.0
36,1022.0,508.0,1275.0,510.0
37,1021.0,508.0,1274.0,511.0
38,1021.0,509.0,1274.0,511.0
39,1021.0,509.0,1275.0,511.0
40,1021.0,509.0,1274.0,511.0
41,1020.0,508.0,1274.0,510.0
42,1021.0,508.0,1274.0,511.0
43,1020.0,509.0,1274.0,512.0
44,1020.0,509.0,1274.0,512.0
45,1020.0,510.0,1274.0,512.0
46,1021.0,510.0,1274.0,513.0
47,1020.0,510.0,1275.0,513.0
48,1020.0,509.0,1275.0,512.0
49,1020.0,508.0,1275.0,510.0
50,1019.0,506.0,1275.0,509.0
51,1018.0,506.0,1274.0,509.0
52,1017.0,506.0,1274.0,509.0
53,1016.0,506.0,1273.0,510.0
54,1015.0,508.0,1272.0,511.0
55,1013.0,509.0,1272.0,512.0
56,1012.0,510.0,1270.0,512.0
57,1009.0,512.0,1268.0,512.0
58,1009.0,512.0,1267.0,513.0
59,1008.0,511.0,1266.0,513.0
60,1007.0,512.0,1265.0,513.0
61,1007.0,512.0,1265.0,513.0
62,1015.0,512.0,1272.0,514.0
63,1018.0,511.0,1275.0,514.0
64,1018.0,511.0,1275.0,514.0
65,1019.0,512.0,1276.0,514.0
66,1019.0,512.0,1276.0,515.0
67,1020.0,513.0,1278.0,516.0
68,1022.0,514.0,1279.0,517.0
69,1025.0,515.0,1281.0,518.0
70,1028.0,516.0,1283.0,518.0
71,1031.0,515.0,1286.0,518.0
