Image File Name,Frame Number,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Direction,K Value,Behaviour,Fixation Level,Saccade Level
frame_0.png,0,210,281,336,284,Left,-5.315072906367325,exploratory,0.0,5.315072906367325
frame_1.png,1,203,276,335,282,Center,-4.315072906367325,exploratory,1.0,5.315072906367325
frame_2.png,2,203,277,335,283,Center,-1.8237167839388846,exploratory,1.4013878188659974,5.315072906367325
frame_3.png,3,202,278,333,284,Center,-107.4996341372524,exploratory,1.4013878188659974,5.2676130804113
frame_4.png,4,202,277,336,275,Left,0.7140092509466731,concentrated,1.4013878188659974,4.19892632454381
frame_5.png,5,204,278,338,273,Left,1.5556005452550643,concentrated,1.434258545910665,4.19892632454381
frame_6.png,6,204,276,338,272,Left,2.149803076578444,concentrated,1.434258545910665,4.965826391042671
frame_7.png,7,204,274,332,288,Center,2.1679743465324877,concentrated,1.434258545910665,5.918357709791498
frame_8.png,8,203,275,339,272,Left,2.1679743465324877,concentrated,1.434258545910665,5.918357709791498
frame_9.png,9,202,275,336,273,Left,0.11213913151952859,concentrated,1.2675918792439982,5.918357709791498
frame_10.png,10,201,275,336,273,Left,0.2454138302466684,concentrated,1.2675918792439982,6.542044334671908
frame_11.png,11,201,276,330,290,Center,0.4908441144601645,concentrated,1.0393446629166316,6.542044334671908
frame_12.png,12,200,275,329,290,Center,1.226472888215002,concentrated,1.0393446629166316,4.5366462020409335
frame_13.png,13,202,275,331,289,Center,0.6609638167481797,concentrated,1.0393446629166316,5.652237568836651
frame_14.png,14,204,275,335,280,Center,-0.2941218495006894,exploratory,1.0393446629166316,3.9139605328878595
frame_15.png,15,204,275,332,288,Center,-5.493504864923965,exploratory,1.0393446629166316,4.601144803824137
frame_16.png,16,203,274,335,281,Center,-1.3016935991743588,exploratory,1.0393446629166316,3.5437251585920717
frame_17.png,17,201,275,333,282,Center,-0.4321115549935848,exploratory,1.0393446629166316,3.9530578677058172
frame_18.png,18,196,275,327,282,Center,-0.14056223543504887,exploratory,1.0393446629166316,3.645876698738738
frame_19.png,19,195,274,333,279,Center,-1.7116849368425489,exploratory,1.0393446629166316,4.800813081404038
frame_20.png,20,196,276,325,286,Center,-0.5162330563037303,exploratory,1.0393446629166316,5.511536001816329
frame_21.png,21,195,272,334,277,Center,-0.3776021639038989,exploratory,1.0393446629166316,5.458142383960557
frame_22.png,22,195,271,328,279,Center,-0.3776021639038989,exploratory,1.0393446629166316,5.458142383960557
frame_23.png,23,193,271,327,279,Center,-0.3776021639038989,exploratory,1.0393446629166316,5.458142383960557
frame_24.png,24,194,271,327,279,Center,-0.37554669469241775,exploratory,1.0393446629166316,5.897128150065028
frame_25.png,25,200,271,335,278,Center,0.25212148403768575,concentrated,1.0393446629166316,4.324897212126953
frame_26.png,26,203,274,335,280,Left,0.20445273225323346,concentrated,1.1666666666666667,4.324897212126953
frame_27.png,27,204,274,337,280,Left,0.4207445492360935,concentrated,1.1666666666666667,4.160940042676047
frame_28.png,28,208,275,338,278,Left,-2.548324795824144,exploratory,1.1666666666666667,3.1653715261227724
frame_29.png,29,205,272,334,285,Center,-1.4407207705183156,exploratory,1.1666666666666667,3.8350225106145728
frame_30.png,30,206,271,337,277,Left,-1.8217581833151772,exploratory,0.9023689270621825,3.8350225106145728
frame_31.png,31,205,270,337,277,Left,-0.49222990425411695,exploratory,1.1083802566454808,3.8350225106145728
frame_32.png,32,206,271,338,275,Left,-0.19142002562669758,exploratory,1.0797847774365126,3.8350225106145728
frame_33.png,33,205,271,337,277,Left,-3.5206867086803157,exploratory,1.0797847774365126,4.163697226993355
frame_34.png,34,209,271,334,284,Center,-3.520686708680316,exploratory,1.0797847774365124,4.163697226993355
frame_35.png,35,210,271,334,285,Left,0.4762243027833559,concentrated,1.0797847774365124,3.5653435947768597
frame_36.png,36,205,270,335,284,Center,0.7960284381518443,concentrated,1.0797847774365124,3.6955582632666175
frame_37.png,37,210,271,338,276,Left,-0.6956617358691597,exploratory,0.8737734478532143,3.6955582632666175
frame_38.png,38,208,271,341,276,Left,-0.20109963314775836,exploratory,0.8737734478532143,3.3668835468878355
frame_39.png,39,212,272,342,276,Left,3.3948431865749,concentrated,0.5690355937288492,3.3668835468878355
frame_40.png,40,212,272,342,277,Left,3.3948431865749,concentrated,0.5690355937288492,3.3668835468878355
frame_41.png,41,211,273,344,277,Left,-1.0779627821441269,exploratory,0.40236892706218247,3.3668835468878355
frame_42.png,42,213,272,342,278,Left,-1.1160112336939245,exploratory,0.6083802566454808,3.3668835468878355
frame_43.png,43,211,271,345,277,Left,-0.9919656755408242,exploratory,0.6083802566454808,3.3087118253241825
frame_44.png,44,216,272,344,277,Left,-0.9018671523791282,exploratory,0.7060113295832983,3.3087118253241825
frame_45.png,45,217,272,345,277,Left,17.076789537098605,concentrated,1.0786893258332633,3.3087118253241825
frame_46.png,46,216,271,347,276,Left,0.9480281882517576,concentrated,0.872677996249965,3.3087118253241825
frame_47.png,47,216,271,346,276,Left,-0.16652958816824048,exploratory,1.1402698754939633,3.3087118253241825
frame_48.png,48,213,269,346,276,Left,0.21165633648698767,concentrated,1.1402698754939633,3.625348204225352
frame_49.png,49,217,271,353,268,Left,0.21165633648698767,concentrated,1.1402698754939633,3.625348204225352
frame_50.png,50,218,270,354,268,Left,-0.20289374109843417,exploratory,1.1402698754939633,4.044807136270539
frame_51.png,51,219,270,350,275,Left,-0.5422406169523946,exploratory,1.1402698754939633,4.190956198667596
frame_52.png,52,215,268,350,274,Left,2.192618290356415,concentrated,1.5745284214046282,4.190956198667596
frame_53.png,53,218,270,350,274,Left,-0.009421196640196694,exploratory,1.2093054692228125,4.190956198667596
frame_54.png,54,219,270,348,275,Left,0.19779312857655817,concentrated,1.3636737496675773,4.190956198667596
frame_55.png,55,218,269,350,273,Left,-2.320706982066026,exploratory,1.3636737496675773,3.000156318833069
frame_56.png,56,217,270,346,274,Left,-2.780458529805326,exploratory,0.9984507974857616,3.000156318833069
frame_57.png,57,216,269,346,274,Left,-2.023585624050301,exploratory,1.1354265333402107,3.000156318833069
frame_58.png,58,218,270,346,274,Left,-1.479575040400392,exploratory,1.0797847774365126,3.000156318833069
frame_59.png,59,217,269,349,273,Left,-3.817692626235382,exploratory,0.8440825170409966,3.000156318833069
frame_60.png,60,218,269,348,273,Left,-3.8176926262353814,exploratory,0.8440825170409966,3.000156318833069
frame_61.png,61,217,270,347,273,Left,-3.7960782918058666,exploratory,0.7060113295832983,3.000156318833069
frame_62.png,62,219,270,347,273,Left,14.182578397671868,concentrated,1.0786893258332633,3.000156318833069
frame_63.png,63,218,268,347,273,Left,13.475471616485319,concentrated,1.0393446629166316,3.000156318833069
frame_64.png,64,215,268,348,273,Center,-1.5108688602006892,exploratory,1.3069365421606298,3.000156318833069
frame_65.png,65,217,270,348,274,Center,-2.677755533582712,exploratory,1.1699608063061808,3.000156318833069
frame_66.png,66,216,270,348,273,Center,-10.706717423394778,exploratory,1.1699608063061808,2.476216793689014
frame_67.png,67,218,268,348,271,Left,-10.348804774566297,exploratory,1.3080319937638791,2.476216793689014
frame_68.png,68,217,269,347,272,Center,-9.508536930212458,exploratory,1.0797847774365126,2.476216793689014
frame_69.png,69,216,268,347,271,Left,-9.50853693021246,exploratory,1.0797847774365124,2.476216793689014
frame_70.png,70,216,267,346,271,Left,-11.915138704779629,exploratory,0.6083802566454808,2.476216793689014
frame_71.png,71,216,268,346,270,Center,-12.104659014059525,exploratory,0.8366274729728475,2.476216793689014
frame_72.png,72,215,266,349,269,Left,-11.965828602278055,exploratory,0.9342585459106649,2.476216793689014
frame_73.png,73,216,266,350,269,Left,-9.176015634104239,exploratory,1.5351837584879966,2.476216793689014
frame_74.png,74,213,264,351,268,Center,-9.539830750012756,exploratory,1.3069365421606298,2.476216793689014
frame_75.png,75,216,264,350,267,Center,-5.065017027705794,exploratory,1.3069365421606298,2.3300677312919578
frame_76.png,76,219,263,351,267,Left,-5.065017027705794,exploratory,1.3069365421606298,2.3300677312919578
frame_77.png,77,220,263,355,265,Left,-3.9445095590120345,exploratory,1.3069365421606298,2.271896009728304
frame_78.png,78,218,262,353,265,Center,0.12679782212831592,concentrated,1.3069365421606298,2.928421363508452
frame_79.png,79,222,263,357,265,Left,0.12679782212831592,concentrated,1.3069365421606298,2.928421363508452
frame_80.png,80,221,263,356,265,Left,-0.12748997845890475,exploratory,1.3069365421606298,3.232744320807365
frame_81.png,81,220,265,351,267,Center,1.2685020346341442,concentrated,1.3069365421606298,5.383791110858822
frame_82.png,82,211,265,347,278,Center,1.1691190401399214,concentrated,1.3069365421606298,5.473802363982834
frame_83.png,83,208,267,343,281,Center,1.2031372071998159,concentrated,1.3069365421606298,5.4504632408057505
frame_84.png,84,206,270,340,283,Center,-0.2460581297937452,exploratory,1.3069365421606298,3.357588172317947
frame_85.png,85,207,272,341,285,Center,-0.6645076618151955,exploratory,1.3069365421606298,2.6692232869774393
frame_86.png,86,209,271,343,284,Center,-0.4778802587279718,exploratory,1.3069365421606298,2.692562410154523
frame_87.png,87,211,269,347,282,Center,-0.4778802587279718,exploratory,1.3069365421606298,2.692562410154523
frame_88.png,88,212,267,348,280,Center,-0.0418174846389987,exploratory,1.3069365421606298,3.437918402654453
frame_89.png,89,215,268,349,271,Center,1.0294246303297827,concentrated,1.3069365421606298,2.9232522484360666
frame_90.png,90,214,268,346,270,Center,0.41283988599736077,concentrated,1.3069365421606298,3.2319888093255966
frame_91.png,91,210,269,344,271,Center,-0.8164916430741944,exploratory,1.3069365421606298,2.407943490992403
frame_92.png,92,211,271,343,273,Center,2.2481756636895263,concentrated,1.17741585037433,2.407943490992403
frame_93.png,93,212,272,344,274,Center,1.2730451139718735,concentrated,1.17741585037433,2.6182866879118776
frame_94.png,94,215,272,346,276,Center,-0.7638046158847747,exploratory,1.17741585037433,2.2713009157089648
frame_95.png,95,216,271,348,274,Center,-0.7638046158847729,exploratory,1.17741585037433,2.2713009157089648
frame_96.png,96,217,271,349,273,Center,-0.7638046158847729,exploratory,1.17741585037433,2.2713009157089648
frame_97.png,97,213,269,353,271,Center,1.900530841412679,concentrated,1.3154870378320282,2.2713009157089648
frame_98.png,98,214,270,350,272,Left,4.902440063167695,concentrated,1.3154870378320282,2.4409608207586886
frame_99.png,99,213,272,346,274,Center,4.218477941314472,concentrated,1.3154870378320282,2.7338540395721416
frame_100.png,100,213,275,346,277,Center,2.6585608727576098,concentrated,1.3154870378320282,2.812543365405405
frame_101.png,101,215,277,346,279,Center,3.770292231612153,concentrated,1.3154870378320282,2.4120226591665967
frame_102.png,102,217,277,348,279,Center,3.063185450425605,concentrated,1.2167605132909616,2.4120226591665967
frame_103.png,103,217,276,349,278,Center,-1.9274167126487245,exploratory,1.0797847774365124,2.4120226591665967
frame_104.png,104,217,275,350,278,Center,-0.5870960894472788,exploratory,0.9810582528954458,2.4120226591665967
frame_105.png,105,216,274,349,278,Center,-0.5870960894472788,exploratory,0.9810582528954458,2.4120226591665967
frame_106.png,106,216,275,348,279,Center,-1.4808302737210495,exploratory,1.3462812050772615,2.4120226591665967
frame_107.png,107,214,277,348,280,Center,-14.508460217958035,exploratory,1.3462812050772615,2.0786893258332633
frame_108.png,108,210,276,348,281,Center,1.3748449326447925,concentrated,1.3462812050772615,2.6770429580497583
frame_109.png,109,213,277,353,281,Center,-0.6529071934774691,exploratory,1.1402698754939633,2.6770429580497583
frame_110.png,110,217,277,349,280,Center,-1.1479847649934865,exploratory,1.1402698754939633,2.843709624716425
frame_111.png,111,218,275,351,278,Center,-1.7697326411611511,exploratory,0.9342585459106649,2.843709624716425
frame_112.png,112,217,275,351,278,Center,-1.876779994470339,exploratory,0.3333333333333333,2.843709624716425
frame_113.png,113,217,275,351,278,Center,-2.280890016230808,exploratory,0.7675918792439983,2.843709624716425
frame_114.png,114,219,277,351,279,Center,-1.8767799944703387,exploratory,1.2018504251546631,2.843709624716425
frame_115.png,115,218,278,349,280,Center,-1.8767799944703387,exploratory,1.2018504251546631,2.843709624716425
frame_116.png,116,218,278,349,280,Center,-1.8767799944703387,exploratory,1.2018504251546631,2.843709624716425
frame_117.png,117,215,279,350,282,Center,-2.757992299050313,exploratory,1.2018504251546631,3.713633700931906
frame_118.png,118,217,275,350,277,Center,-2.8618948676506397,exploratory,0.9736032088272966,3.713633700931906
frame_119.png,119,218,274,350,276,Center,-2.0291970695734607,exploratory,1.1402698754939633,3.713633700931906
frame_120.png,120,218,274,350,277,Center,-1.1321198604978524,exploratory,1.1402698754939633,3.2197606618142784
frame_121.png,121,218,278,349,278,Center,-1.1891649344911537,exploratory,1.1402698754939633,3.2362639140797427
frame_122.png,122,217,279,349,282,Center,-0.8096312404037325,exploratory,1.0393446629166316,3.2362639140797427
frame_123.png,123,218,279,348,279,Center,-0.8096312404037325,exploratory,1.0393446629166316,3.2362639140797427
frame_124.png,124,217,279,348,281,Center,-3.305884638808821,exploratory,1.0393446629166316,2.901523596352258
frame_125.png,125,211,276,348,280,Center,-3.305884638808821,exploratory,1.0393446629166316,2.901523596352258
frame_126.png,126,212,277,348,279,Center,-1.883409640349083,exploratory,1.0393446629166316,3.5609178671096964
frame_127.png,127,212,272,347,275,Center,-0.8175693228947849,exploratory,1.0393446629166316,3.3982655524471763
frame_128.png,128,208,271,347,275,Center,-0.20971403800600585,exploratory,0.9120226591665966,3.3982655524471763
frame_129.png,129,207,272,346,275,Center,-0.32253547055621157,exploratory,0.7750469233121474,3.3982655524471763
frame_130.png,130,207,272,345,276,Center,1.7243832934138261,concentrated,0.9810582528954458,3.3982655524471763
frame_131.png,131,206,271,345,275,Center,1.7243832934138261,concentrated,0.9810582528954458,3.3982655524471763
frame_132.png,132,205,272,344,275,Center,16.04621610828464,concentrated,1.0786893258332633,3.3982655524471763
frame_133.png,133,206,272,345,275,Center,1.5763220076838431,concentrated,1.2330576062780283,3.3982655524471763
frame_134.png,134,206,274,346,276,Center,1.0172765122272782,concentrated,1.1937129433613967,3.3982655524471763
frame_135.png,135,206,275,346,277,Center,1.5369822045283876,concentrated,1.1937129433613967,3.0297484606258465
frame_136.png,136,204,277,345,279,Center,-8.214606764528883,exploratory,1.1937129433613967,2.26587359676954
frame_137.png,137,203,279,344,281,Center,-11.25442238111095,exploratory,0.8603796100280633,2.26587359676954
frame_138.png,138,203,279,344,281,Center,-11.15778152321522,exploratory,0.6666666666666666,2.26587359676954
frame_139.png,139,203,280,344,282,Center,-11.164323857949254,exploratory,0.7060113295832983,2.26587359676954
frame_140.png,140,203,279,345,281,Center,-13.009765277019646,exploratory,0.7060113295832983,2.2857961070198107
frame_141.png,141,205,280,346,283,Center,-10.72455584541447,exploratory,1.3069365421606298,2.2857961070198107
frame_142.png,142,207,279,347,282,Center,1.0206411435933274,concentrated,1.3069365421606298,2.9616936300427135
frame_143.png,143,210,280,353,282,Center,1.4556242687644985,concentrated,1.3069365421606298,4.602641148088843
frame_144.png,144,220,282,357,283,Left,1.5268584697218577,concentrated,1.3069365421606298,4.562201033568962
frame_145.png,145,223,283,358,282,Left,2.0047387284498295,concentrated,1.3462812050772615,4.562201033568962
frame_146.png,146,224,282,359,282,Left,2.7118455096363774,concentrated,1.5745284214046282,4.562201033568962
frame_147.png,147,226,281,360,281,Left,1.5268584697218577,concentrated,1.3069365421606298,4.562201033568962
frame_148.png,148,227,281,361,281,Left,0.3599717963398348,concentrated,1.1699608063061808,4.562201033568962
frame_149.png,149,228,281,361,282,Left,4.36951171641036,concentrated,0.9023689270621825,4.562201033568962
frame_150.png,150,228,281,363,282,Left,1.4206142613433794,concentrated,0.7357022603955158,4.562201033568962
frame_151.png,151,229,281,363,282,Left,0.15873107644203754,concentrated,1.02704627669473,4.562201033568962
frame_152.png,152,227,281,362,283,Left,-0.18234033404528538,exploratory,0.9294152037569124,4.562201033568962
frame_153.png,153,228,280,362,283,Left,-0.986566166774302,exploratory,0.7627485370902458,4.562201033568962
frame_154.png,154,229,280,361,283,Left,-0.8104010334952179,exploratory,0.40236892706218247,4.562201033568962
frame_155.png,155,229,280,362,283,Left,-0.7518086271492845,exploratory,0.3333333333333333,4.562201033568962
frame_156.png,156,229,279,362,283,Left,-0.3982552365560106,exploratory,0.8333333333333334,4.562201033568962
frame_157.png,157,229,281,362,284,Left,-0.3982552365560106,exploratory,0.8333333333333334,4.562201033568962
frame_158.png,158,229,282,362,284,Left,0.2619691633162087,concentrated,1.1937129433613967,4.562201033568962
frame_159.png,159,228,282,360,285,Left,-1.1147356272706899,exploratory,0.6937129433613967,4.562201033568962
frame_160.png,160,227,282,361,285,Left,-0.6216319565666835,exploratory,0.6937129433613967,3.886303510546059
frame_161.png,161,225,282,358,285,Left,-0.3553458143410093,exploratory,0.8603796100280633,3.886303510546059
frame_162.png,162,226,283,359,284,Left,-0.4481736474267841,exploratory,0.5,3.886303510546059
frame_163.png,163,225,283,360,285,Left,-0.4481736474267841,exploratory,0.5,3.886303510546059
frame_164.png,164,226,283,359,285,Left,-0.4934624960702958,exploratory,0.5393446629166316,3.886303510546059
frame_165.png,165,227,284,360,285,Left,-0.4934624960702958,exploratory,0.5393446629166316,3.886303510546059
frame_166.png,166,227,285,360,285,Left,1.4574792520077746,concentrated,0.9120226591665966,3.886303510546059
frame_167.png,167,226,284,359,285,Left,0.8496239671189956,concentrated,1.0393446629166316,3.886303510546059
frame_168.png,168,225,284,357,285,Left,0.8496239671189956,concentrated,1.0393446629166316,3.886303510546059
frame_169.png,169,225,284,358,285,Left,0.09484843414799582,concentrated,0.8333333333333334,3.886303510546059
frame_170.png,170,225,284,359,285,Left,0.7503724708212272,concentrated,0.7060113295832983,3.886303510546059
frame_171.png,171,225,283,358,284,Left,0.734930590361264,concentrated,1.0663909396113616,3.886303510546059
frame_172.png,172,226,283,360,283,Left,0.734930590361264,concentrated,1.0663909396113616,3.886303510546059
frame_173.png,173,226,283,360,284,Left,0.6018376601984394,concentrated,1.2946381559387283,3.886303510546059
frame_174.png,174,225,282,358,283,Left,-0.15165760313609034,exploratory,0.9342585459106649,3.886303510546059
frame_175.png,175,224,282,358,283,Left,0.5554491780504571,concentrated,1.3685170918213299,3.886303510546059
frame_176.png,176,226,281,358,281,Left,-0.6628149782057471,exploratory,0.7675918792439983,3.886303510546059
frame_177.png,177,225,281,359,281,Left,-0.9658117376318255,exploratory,0.6009252125773316,3.886303510546059
frame_178.png,178,226,281,358,281,Left,-5.89724680739365,exploratory,0.6009252125773316,2.4718253158075503
frame_179.png,179,227,278,360,279,Left,-5.89724680739365,exploratory,0.37267799624996495,2.4718253158075503
frame_180.png,180,227,277,361,278,Left,-9.755567656736538,exploratory,0.37267799624996495,2.859251202530343
frame_181.png,181,227,280,359,281,Left,-2.5832267995986826,exploratory,0.37267799624996495,3.8668113720615533
frame_182.png,182,221,281,354,281,Blinking,-3.210459354349105,exploratory,0.37267799624996495,4.908827051853099
frame_183.png,183,227,277,359,280,Left,-2.5219116566442463,exploratory,0.37267799624996495,4.75226196631939
frame_184.png,184,228,274,360,278,Left,-2.0495624150827165,exploratory,0.5393446629166316,4.75226196631939
frame_185.png,185,228,273,360,278,Left,-1.1235589957841166,exploratory,0.5393446629166316,3.7447017967881795
frame_186.png,186,228,271,360,275,Left,-27.06547747918109,exploratory,0.5393446629166316,2.5641941345224173
frame_187.png,187,226,271,357,275,Left,-26.10192471007922,exploratory,1.1402698754939633,2.5641941345224173
frame_188.png,188,222,272,358,276,Left,-4.773310786475578,exploratory,1.1402698754939633,2.7847006554165614
frame_189.png,189,221,268,356,274,Left,-4.773310786475578,exploratory,1.1402698754939633,2.7847006554165614
frame_190.png,190,220,269,355,274,Left,-4.789041431803761,exploratory,1.1402698754939633,3.1298786240608076
frame_191.png,191,215,268,353,274,Left,-1.778511941029989,exploratory,1.4450077296183281,3.1298786240608076
frame_192.png,192,218,269,352,275,Left,1.7827264184651552,concentrated,1.2167605132909616,3.1298786240608076
frame_193.png,193,216,269,352,274,Left,-0.17450225764575045,exploratory,1.17741585037433,3.1298786240608076
frame_194.png,194,215,269,351,274,Left,-2.0156164071377116,exploratory,1.2330576062780283,3.1298786240608076
frame_195.png,195,212,268,351,274,Left,-1.4807066200304853,exploratory,1.331784130819095,3.1298786240608076
