Image File Name,Frame Number,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Direction,K Value,Behaviour,Fixation Level,Saccade Level
frame_0.png,0,203,411,382,407,Blinking,-3.5355339059327378,exploratory,0.0,3.5355339059327378
frame_1.png,1,204,412,388,407,Blinking,-3.9999999999999987,exploratory,0.0,2.82842712474619
frame_2.png,2,205,413,390,409,Blinking,-3.9999999999999987,exploratory,0.0,2.82842712474619
frame_3.png,3,205,413,390,409,Blinking,-2.9999999999999987,exploratory,0.5590169943749475,2.82842712474619
frame_4.png,4,204,413,389,408,Blinking,-2.644378843972837,exploratory,0.8997242729446949,2.82842712474619
frame_5.png,5,206,413,390,409,Blinking,0.916433816515998,concentrated,1.2330576062780283,2.82842712474619
frame_6.png,6,205,413,389,409,Blinking,-0.9824236617240563,exploratory,1.096081870423579,2.82842712474619
frame_7.png,7,205,414,388,409,Blinking,-1.4740060141377849,exploratory,1.1699608063061806,2.82842712474619
frame_8.png,8,206,415,390,410,Blinking,-1.3241717878378543,exploratory,1.2093054692228125,2.82842712474619
frame_9.png,9,205,416,390,411,Blinking,0.17076091797221027,concentrated,1.3462812050772615,2.82842712474619
frame_10.png,10,204,416,389,410,Blinking,4.714776642118865,concentrated,1.2167605132909616,2.82842712474619
frame_11.png,11,205,417,390,411,Blinking,-0.27582552095546475,exploratory,1.0797847774365124,2.82842712474619
frame_12.png,12,206,417,390,412,Blinking,-1.1715728752538084,exploratory,0.9428090415820635,2.82842712474619
frame_13.png,13,206,416,391,412,Blinking,2.535533905932738,concentrated,0.6380711874576984,2.82842712474619
frame_14.png,14,206,417,391,412,Blinking,-2.016318144522905,exploratory,0.9294152037569123,2.82842712474619
frame_15.png,15,207,418,391,414,Blinking,-1.592150890820362,exploratory,1.0663909396113616,2.82842712474619
frame_16.png,16,207,417,390,413,Blinking,3.1599173054698446,concentrated,1.3711287937357266,2.82842712474619
frame_17.png,17,205,418,390,414,Blinking,2.757547966007959,concentrated,1.17741585037433,2.82842712474619
frame_18.png,18,205,420,390,414,Blinking,-1.401087406367839,exploratory,0.9714045207910317,2.82842712474619
frame_19.png,19,206,419,390,415,Blinking,-0.4133635491342398,exploratory,0.7357022603955158,2.82842712474619
frame_20.png,20,205,419,390,414,Blinking,-1.7675156949764688,exploratory,0.8737734478532143,2.82842712474619
frame_21.png,21,206,420,391,415,Blinking,-1.7675156949764688,exploratory,0.8737734478532143,2.82842712474619
frame_22.png,22,207,420,391,415,Blinking,-1.4255978171183834,exploratory,1.10947570824873,2.82842712474619
frame_23.png,23,208,421,392,416,Blinking,-1.5482598188826104,exploratory,1.1651174641524282,2.82842712474619
frame_24.png,24,209,422,392,418,Blinking,-1.4373471154086213,exploratory,1.1651174641524282,2.5927248643506737
frame_25.png,25,207,420,391,417,Blinking,-0.6315207282560649,exploratory,1.2341530578812774,2.5927248643506737
frame_26.png,26,207,421,390,417,Blinking,-1.9054054410489154,exploratory,0.9294152037569124,2.5927248643506737
frame_27.png,27,207,421,391,417,Blinking,-0.8715109582500675,exploratory,0.7750469233121474,2.5927248643506737
frame_28.png,28,206,420,391,416,Blinking,-1.4657963068864093,exploratory,0.7060113295832983,2.5927248643506737
frame_29.png,29,206,420,390,416,Blinking,-0.8715109582500675,exploratory,0.7750469233121474,2.5927248643506737
frame_30.png,30,204,420,391,415,Blinking,-1.6566029915024796,exploratory,0.8737734478532143,2.5927248643506737
