Image Filename,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Gaze Direction
frame_0.png,244,399,450,399,Center
frame_1.png,244,403,448,403,Center
frame_2.png,242,404,447,405,Center
frame_3.png,242,404,447,405,Center
frame_4.png,243,406,447,405,Center
frame_5.png,243,408,447,407,Center
frame_6.png,243,409,447,410,Center
frame_7.png,242,412,447,412,Center
frame_8.png,242,412,447,413,Center
frame_9.png,242,412,447,413,Center
frame_10.png,242,411,447,412,Center
frame_11.png,242,411,447,412,Center
frame_12.png,243,413,446,415,Center
frame_13.png,242,413,446,415,Center
frame_14.png,242,414,447,415,Center
frame_15.png,243,415,447,416,Center
frame_16.png,242,417,447,418,Center
frame_17.png,243,418,447,418,Center
frame_18.png,243,419,447,419,Center
frame_19.png,253,423,447,421,Blinking
frame_20.png,246,431,441,427,Blinking
frame_21.png,247,432,444,428,Blinking
frame_22.png,248,430,445,425,Blinking
frame_23.png,245,427,449,424,Blinking
frame_24.png,246,429,449,425,Blinking
frame_25.png,254,426,450,424,Blinking
frame_26.png,254,426,450,423,Blinking
frame_27.png,255,425,450,423,Blinking
frame_28.png,247,424,451,424,Blinking
frame_29.png,247,423,450,423,Blinking
frame_30.png,247,422,451,423,Blinking
frame_31.png,247,422,452,422,Blinking
frame_32.png,247,422,452,423,Blinking
frame_33.png,248,423,452,423,Center
frame_34.png,248,423,452,423,Center
frame_35.png,247,421,452,422,Center
frame_36.png,248,419,452,420,Center
frame_37.png,248,420,453,421,Blinking
frame_38.png,247,419,453,421,Blinking
frame_39.png,248,420,453,421,Blinking
frame_40.png,248,420,453,421,Center
frame_41.png,249,419,453,421,Blinking
frame_42.png,248,418,454,420,Blinking
frame_43.png,249,421,454,422,Blinking
frame_44.png,250,424,454,425,Blinking
frame_45.png,251,423,455,424,Blinking
frame_46.png,250,422,456,423,Blinking
frame_47.png,251,421,456,422,Blinking
frame_48.png,258,419,457,420,Center
frame_49.png,250,417,457,419,Blinking
frame_50.png,251,415,457,417,Center
frame_51.png,252,413,457,416,Blinking
frame_52.png,252,415,458,417,Center
frame_53.png,252,419,458,421,Blinking
frame_54.png,252,424,458,427,Blinking
frame_55.png,252,429,458,431,Center
frame_56.png,253,428,458,430,Blinking
frame_57.png,253,427,459,429,Blinking
frame_58.png,253,430,459,432,Center
frame_59.png,254,436,459,437,Blinking
frame_60.png,254,435,459,437,Blinking
frame_61.png,254,430,461,433,Center
frame_62.png,254,428,461,431,Center
frame_63.png,254,429,460,432,Blinking
frame_64.png,256,430,460,433,Blinking
frame_65.png,256,427,461,431,Blinking
frame_66.png,257,424,462,428,Blinking
frame_67.png,258,424,463,428,Blinking
frame_68.png,258,423,464,427,Center
frame_69.png,258,423,464,427,Blinking
frame_70.png,259,425,463,428,Blinking
frame_71.png,258,429,463,432,Blinking
frame_72.png,255,433,459,437,Center
frame_73.png,253,433,456,438,Blinking
frame_74.png,252,431,457,435,Center
frame_75.png,252,431,457,434,Center
frame_76.png,252,431,458,434,Center
frame_77.png,253,432,458,435,Center
frame_78.png,253,433,458,436,Blinking
frame_79.png,245,431,458,436,Center
frame_80.png,251,431,458,435,Center
frame_81.png,251,431,458,435,Center
frame_82.png,245,432,458,436,Center
frame_83.png,253,433,458,436,Blinking
frame_84.png,253,431,458,433,Center
frame_85.png,253,430,458,432,Center
frame_86.png,254,432,458,433,Center
frame_87.png,254,433,457,434,Center
frame_88.png,253,432,457,434,Center
frame_89.png,252,431,458,435,Center
frame_90.png,251,433,457,436,Center
frame_91.png,250,430,456,432,Center
frame_92.png,250,429,456,430,Blinking
frame_93.png,250,425,456,426,Center
frame_94.png,250,425,456,425,Blinking
frame_95.png,249,426,456,427,Center
frame_96.png,250,430,456,430,Center
frame_97.png,250,432,457,431,Center
frame_98.png,250,433,456,434,Blinking
frame_99.png,250,433,457,434,Center
frame_100.png,250,432,457,433,Center
frame_101.png,252,432,457,432,Center
frame_102.png,251,429,457,430,Center
frame_103.png,251,429,457,430,Center
frame_104.png,251,427,458,428,Center
frame_105.png,252,428,457,427,Center
frame_106.png,252,427,457,427,Center
frame_107.png,251,427,457,427,Center
frame_108.png,252,427,458,427,Center
frame_109.png,252,427,458,427,Center
frame_110.png,251,427,458,428,Center
frame_111.png,251,428,459,428,Center
frame_112.png,252,428,459,428,Center
