Image Filename,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Gaze Direction
frame_0.png,169,207,307,205,Blinking
frame_1.png,168,206,307,205,Blinking
frame_2.png,170,208,307,206,Blinking
frame_3.png,170,209,306,207,Blinking
frame_4.png,172,208,307,207,Blinking
frame_5.png,169,207,308,207,Blinking
frame_6.png,170,208,301,207,Blinking
frame_7.png,168,209,301,207,Blinking
frame_8.png,166,208,307,205,Blinking
frame_9.png,171,209,307,207,Blinking
frame_10.png,170,209,308,208,Blinking
frame_11.png,171,209,307,208,Blinking
frame_12.png,169,210,306,208,Blinking
frame_13.png,209,211,306,207,Blinking
frame_14.png,168,210,307,207,Blinking
frame_15.png,169,209,301,208,Blinking
frame_16.png,170,210,302,207,Blinking
frame_17.png,170,210,302,207,Blinking
frame_18.png,169,210,306,208,Blinking
frame_19.png,169,211,301,208,Blinking
frame_20.png,170,210,307,208,Blinking
frame_21.png,174,210,309,208,Center
frame_22.png,172,210,308,208,Blinking
frame_23.png,168,210,307,208,Blinking
frame_24.png,169,211,300,209,Blinking
frame_25.png,170,210,314,209,Blinking
frame_26.png,167,211,306,208,Blinking
frame_27.png,169,211,305,208,Blinking
frame_28.png,,,,,Unknown
frame_29.png,170,210,311,208,Blinking
frame_30.png,168,212,310,208,Blinking
frame_31.png,167,211,312,209,Blinking
frame_32.png,168,212,312,208,Blinking
frame_33.png,167,212,313,208,Blinking
frame_34.png,169,209,312,208,Center
frame_35.png,169,210,308,207,Blinking
frame_36.png,169,210,311,208,Blinking
frame_37.png,168,212,312,208,Blinking
frame_38.png,170,213,312,208,Blinking
frame_39.png,170,211,311,208,Blinking
frame_40.png,168,212,312,208,Blinking
frame_41.png,170,211,311,208,Blinking
frame_42.png,170,211,300,207,Blinking
frame_43.png,170,211,312,208,Blinking
frame_44.png,170,211,299,208,Center
frame_45.png,171,210,311,208,Center
frame_46.png,170,210,312,208,Blinking
frame_47.png,170,210,311,208,Blinking
frame_48.png,169,209,312,208,Blinking
frame_49.png,170,211,310,207,Blinking
frame_50.png,170,211,311,207,Center
frame_51.png,169,211,311,208,Blinking
