Image Filename,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Gaze Direction
frame_0.png,223,287,369,298,Center
frame_1.png,222,287,365,298,Center
frame_2.png,222,287,368,297,Center
frame_3.png,225,289,364,299,Center
frame_4.png,224,289,364,300,Center
frame_5.png,224,288,364,299,Center
frame_6.png,222,288,364,300,Center
frame_7.png,223,288,364,299,Center
frame_8.png,222,287,364,298,Center
frame_9.png,223,287,364,298,Center
frame_10.png,223,287,365,298,Center
frame_11.png,224,287,367,297,Center
frame_12.png,223,287,368,298,Center
frame_13.png,224,287,369,296,Center
frame_14.png,223,287,368,297,Center
frame_15.png,223,286,370,296,Center
frame_16.png,222,283,366,295,Center
frame_17.png,222,283,373,288,Center
frame_18.png,222,283,371,288,Center
frame_19.png,222,283,359,303,Center
frame_20.png,221,283,364,295,Center
frame_21.png,221,283,371,288,Center
frame_22.png,220,283,371,288,Center
frame_23.png,220,283,358,304,Center
frame_24.png,219,283,358,304,Center
frame_25.png,219,283,358,304,Center
frame_26.png,218,283,358,304,Center
frame_27.png,219,286,366,298,Center
frame_28.png,220,289,362,302,Center
frame_29.png,220,290,362,302,Center
frame_30.png,221,290,362,302,Center
frame_31.png,221,290,363,301,Center
frame_32.png,221,290,363,303,Center
frame_33.png,221,290,364,303,Center
frame_34.png,222,291,364,303,Center
frame_35.png,230,299,363,307,Blinking
frame_36.png,226,302,361,311,Blinking
frame_37.png,232,298,364,306,Blinking
frame_38.png,231,294,369,305,Left
frame_39.png,228,291,371,303,Left
frame_40.png,223,290,371,302,Center
frame_41.png,223,289,372,301,Center
frame_42.png,223,289,371,301,Center
frame_43.png,224,288,371,301,Center
frame_44.png,225,287,372,299,Center
frame_45.png,224,287,372,300,Center
frame_46.png,224,287,372,299,Center
frame_47.png,225,287,372,300,Center
frame_48.png,225,288,372,301,Center
frame_49.png,226,288,372,300,Center
frame_50.png,225,287,372,299,Center
frame_51.png,226,288,371,300,Left
frame_52.png,226,287,369,300,Center
frame_53.png,225,286,371,299,Center
frame_54.png,225,286,371,298,Center
frame_55.png,223,287,370,300,Center
frame_56.png,222,289,367,301,Center
frame_57.png,222,290,369,302,Center
frame_58.png,221,290,368,302,Center
frame_59.png,222,290,370,301,Center
frame_60.png,222,289,370,302,Center
frame_61.png,221,289,370,301,Center
frame_62.png,221,289,368,301,Center
frame_63.png,222,290,369,302,Center
frame_64.png,221,291,364,303,Center
frame_65.png,220,291,369,302,Center
frame_66.png,221,291,370,301,Center
frame_67.png,220,290,369,302,Center
frame_68.png,220,290,370,301,Center
frame_69.png,220,290,364,302,Center
frame_70.png,220,289,364,302,Center
frame_71.png,220,291,363,303,Center
frame_72.png,221,290,369,303,Center
frame_73.png,221,290,368,302,Center
frame_74.png,220,289,369,302,Center
frame_75.png,221,290,369,302,Center
frame_76.png,222,290,370,303,Center
frame_77.png,223,290,371,302,Center
frame_78.png,222,290,373,302,Center
frame_79.png,223,291,366,304,Center
frame_80.png,222,291,366,304,Center
frame_81.png,222,289,372,302,Center
frame_82.png,221,289,370,302,Center
frame_83.png,221,289,370,302,Center
frame_84.png,221,289,370,301,Center
frame_85.png,221,289,368,302,Center
frame_86.png,221,289,369,301,Center
frame_87.png,220,290,368,301,Center
frame_88.png,221,289,364,303,Center
frame_89.png,220,290,368,302,Center
frame_90.png,220,289,369,302,Center
frame_91.png,220,290,370,302,Center
frame_92.png,220,290,369,302,Center
frame_93.png,221,290,369,302,Center
frame_94.png,223,293,365,305,Center
frame_95.png,223,293,365,305,Center
frame_96.png,222,297,364,308,Center
frame_97.png,222,293,369,304,Center
frame_98.png,223,298,363,309,Center
frame_99.png,223,298,364,309,Center
frame_100.png,221,298,364,309,Center
frame_101.png,220,299,363,311,Center
frame_102.png,221,298,364,310,Center
frame_103.png,222,298,364,310,Center
frame_104.png,221,299,363,312,Center
frame_105.png,221,296,365,310,Center
frame_106.png,223,298,365,311,Center
frame_107.png,223,299,364,312,Center
frame_108.png,222,299,364,312,Center
frame_109.png,223,299,365,311,Center
frame_110.png,223,299,365,311,Center
frame_111.png,224,295,366,308,Center
frame_112.png,225,300,366,310,Center
frame_113.png,223,300,365,312,Center
frame_114.png,225,300,366,311,Center
frame_115.png,226,299,366,310,Center
frame_116.png,226,299,365,312,Center
frame_117.png,224,299,365,311,Center
frame_118.png,224,298,365,310,Center
frame_119.png,224,298,366,309,Center
frame_120.png,223,294,371,304,Center
frame_121.png,225,298,365,310,Center
frame_122.png,225,298,366,309,Center
frame_123.png,225,298,365,310,Center
frame_124.png,222,298,364,311,Center
frame_125.png,226,298,365,310,Center
frame_126.png,226,298,366,309,Center
frame_127.png,227,298,367,310,Left
frame_128.png,227,298,367,309,Center
frame_129.png,225,294,371,305,Center
frame_130.png,225,294,368,305,Center
frame_131.png,225,299,364,310,Center
frame_132.png,224,299,363,311,Center
frame_133.png,222,297,364,309,Center
frame_134.png,221,297,363,310,Center
frame_135.png,220,298,362,310,Center
frame_136.png,219,297,362,309,Center
frame_137.png,219,297,362,309,Center
frame_138.png,219,297,361,309,Center
frame_139.png,220,297,359,311,Center
frame_140.png,221,292,370,303,Center
frame_141.png,221,292,370,303,Center
frame_142.png,221,291,371,303,Center
frame_143.png,224,297,365,309,Left
frame_144.png,223,298,365,310,Center
frame_145.png,224,297,365,309,Left
frame_146.png,221,298,364,310,Center
frame_147.png,224,298,365,309,Left
frame_148.png,224,298,365,309,Left
frame_149.png,224,297,365,309,Left
frame_150.png,221,297,364,310,Center
frame_151.png,222,292,365,305,Center
frame_152.png,224,296,365,308,Left
frame_153.png,221,296,364,308,Center
frame_154.png,220,297,363,309,Center
frame_155.png,220,296,363,309,Center
frame_156.png,219,296,362,309,Center
frame_157.png,215,292,360,307,Center
frame_158.png,216,294,359,306,Center
frame_159.png,216,294,359,306,Center
frame_160.png,214,290,356,308,Center
frame_161.png,216,294,355,308,Center
frame_162.png,216,292,355,308,Center
frame_163.png,213,288,355,308,Center
frame_164.png,213,290,355,308,Center
frame_165.png,213,288,355,308,Center
frame_166.png,214,293,355,307,Center
frame_167.png,215,292,354,305,Center
frame_168.png,215,292,355,307,Center
frame_169.png,215,291,355,306,Center
frame_170.png,215,291,355,307,Center
frame_171.png,215,292,354,306,Center
frame_172.png,215,292,354,306,Center
frame_173.png,213,289,356,301,Center
frame_174.png,215,292,354,306,Center
frame_175.png,214,292,354,306,Center
frame_176.png,213,287,357,300,Center
frame_177.png,214,292,354,306,Center
frame_178.png,213,287,356,300,Center
frame_179.png,213,288,357,301,Center
frame_180.png,213,294,357,306,Center
frame_181.png,211,291,356,303,Center
frame_182.png,210,291,355,303,Center
frame_183.png,210,293,355,305,Center
frame_184.png,210,291,354,303,Center
frame_185.png,209,291,354,303,Center
frame_186.png,211,292,354,303,Center
frame_187.png,210,292,354,303,Center
frame_188.png,210,292,354,304,Center
frame_189.png,210,293,355,306,Center
frame_190.png,210,292,355,305,Center
frame_191.png,211,292,356,306,Center
frame_192.png,210,292,356,305,Center
frame_193.png,211,292,356,304,Center
frame_194.png,211,291,356,304,Center
frame_195.png,211,292,356,304,Center
frame_196.png,211,292,356,304,Center
frame_197.png,212,290,357,302,Center
frame_198.png,212,288,358,300,Center
frame_199.png,213,288,358,300,Center
frame_200.png,212,288,357,300,Center
frame_201.png,212,288,357,300,Center
frame_202.png,212,288,357,300,Center
frame_203.png,212,287,357,299,Center
frame_204.png,212,287,358,299,Center
frame_205.png,212,287,358,299,Center
frame_206.png,212,286,358,298,Center
frame_207.png,212,286,358,298,Center
frame_208.png,212,286,358,298,Center
frame_209.png,212,286,357,298,Center
frame_210.png,212,285,357,297,Center
frame_211.png,212,285,360,297,Center
frame_212.png,217,286,361,298,Left
frame_213.png,218,285,361,297,Left
frame_214.png,213,284,362,297,Left
frame_215.png,213,284,362,296,Left
frame_216.png,213,284,359,296,Left
frame_217.png,219,294,354,303,Blinking
frame_218.png,214,300,346,309,Blinking
frame_219.png,220,294,355,302,Blinking
frame_220.png,220,290,362,302,Left
frame_221.png,214,286,360,299,Left
frame_222.png,213,284,360,297,Left
frame_223.png,217,283,362,295,Left
frame_224.png,217,283,361,295,Left
frame_225.png,214,282,360,295,Center
frame_226.png,215,284,360,296,Center
frame_227.png,215,283,360,296,Center
frame_228.png,215,284,361,295,Center
frame_229.png,215,283,361,295,Center
frame_230.png,215,282,361,295,Center
frame_231.png,219,283,361,295,Left
frame_232.png,215,282,361,296,Center
frame_233.png,217,285,360,296,Left
frame_234.png,217,294,356,304,Blinking
frame_235.png,214,295,347,305,Blinking
frame_236.png,220,291,354,300,Blinking
frame_237.png,209,285,357,298,Center
frame_238.png,210,283,354,294,Center
frame_239.png,209,283,354,293,Center
frame_240.png,208,280,353,293,Center
frame_241.png,207,280,354,292,Center
frame_242.png,209,281,355,293,Center
frame_243.png,211,283,357,295,Center
frame_244.png,212,283,357,295,Left
frame_245.png,213,283,357,294,Left
frame_246.png,213,284,357,295,Left
frame_247.png,212,283,357,295,Center
frame_248.png,213,284,357,295,Left
frame_249.png,212,283,357,294,Left
frame_250.png,212,283,357,295,Center
frame_251.png,212,283,357,294,Left
frame_252.png,215,281,357,293,Left
frame_253.png,216,282,357,293,Left
frame_254.png,212,284,356,295,Left
frame_255.png,216,281,360,292,Left
frame_256.png,215,282,357,292,Left
frame_257.png,212,281,354,290,Center
frame_258.png,207,280,354,283,Center
frame_259.png,207,279,354,282,Center
frame_260.png,206,280,354,282,Center
frame_261.png,206,280,347,300,Center
frame_262.png,206,280,358,283,Center
frame_263.png,205,280,347,300,Center
frame_264.png,204,280,352,282,Center
frame_265.png,203,280,346,301,Center
frame_266.png,203,280,350,282,Center
frame_267.png,202,280,350,281,Center
frame_268.png,201,280,349,281,Center
frame_269.png,201,280,343,301,Center
frame_270.png,200,280,343,300,Center
frame_271.png,199,280,343,300,Center
frame_272.png,199,280,342,300,Center
frame_273.png,199,281,342,300,Center
frame_274.png,199,280,342,300,Center
frame_275.png,199,280,343,301,Center
frame_276.png,199,280,343,301,Center
frame_277.png,199,280,344,301,Center
frame_278.png,199,280,344,301,Center
frame_279.png,200,280,344,301,Center
frame_280.png,200,281,347,292,Center
frame_281.png,201,280,345,301,Center
frame_282.png,201,280,345,301,Center
frame_283.png,200,280,348,293,Center
frame_284.png,198,281,344,293,Center
frame_285.png,198,281,343,293,Center
frame_286.png,198,281,343,293,Center
frame_287.png,198,281,343,293,Center
frame_288.png,198,281,344,293,Center
frame_289.png,200,281,345,293,Center
frame_290.png,202,281,349,293,Center
frame_291.png,203,281,350,293,Center
frame_292.png,203,281,351,293,Center
frame_293.png,203,280,351,293,Center
frame_294.png,204,281,353,292,Center
frame_295.png,205,281,352,293,Center
frame_296.png,203,280,353,283,Center
frame_297.png,202,281,353,283,Center
frame_298.png,202,281,345,294,Center
frame_299.png,202,282,346,294,Center
frame_300.png,202,281,346,294,Center
frame_301.png,203,280,346,294,Center
frame_302.png,203,281,347,294,Center
frame_303.png,203,281,346,294,Center
frame_304.png,203,281,349,292,Center
frame_305.png,204,280,346,294,Center
frame_306.png,204,281,348,295,Center
frame_307.png,205,280,349,294,Center
frame_308.png,205,280,349,295,Center
frame_309.png,206,280,350,295,Center
frame_310.png,207,282,351,295,Center
frame_311.png,207,281,351,295,Center
frame_312.png,207,282,352,295,Center
frame_313.png,208,280,352,295,Center
frame_314.png,208,279,353,294,Center
frame_315.png,208,280,352,294,Center
frame_316.png,208,280,352,295,Center
frame_317.png,208,279,351,295,Center
frame_318.png,208,279,352,294,Center
frame_319.png,208,280,351,294,Center
frame_320.png,208,280,352,294,Center
frame_321.png,208,279,351,294,Center
frame_322.png,208,280,351,294,Center
frame_323.png,208,279,352,294,Center
frame_324.png,208,280,352,294,Center
frame_325.png,207,281,352,295,Center
frame_326.png,208,281,352,295,Center
frame_327.png,208,280,352,295,Center
frame_328.png,209,280,353,295,Center
frame_329.png,209,280,353,295,Center
frame_330.png,209,281,355,294,Center
frame_331.png,210,280,354,295,Center
frame_332.png,211,281,355,295,Center
frame_333.png,211,281,355,296,Center
frame_334.png,213,283,358,298,Center
frame_335.png,217,287,361,301,Center
frame_336.png,218,288,362,302,Center
frame_337.png,218,288,363,302,Center
frame_338.png,221,290,363,303,Center
frame_339.png,220,290,363,304,Center
frame_340.png,219,288,363,302,Center
