Image Filename,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Gaze Direction
frame_0.png,210,391,402,396,Blinking
frame_1.png,210,392,403,396,Blinking
frame_2.png,210,392,402,395,Blinking
frame_3.png,213,390,406,395,Blinking
frame_4.png,214,391,407,396,Center
frame_5.png,215,389,408,394,Blinking
frame_6.png,216,389,408,395,Center
frame_7.png,216,391,409,396,Center
frame_8.png,217,387,409,394,Blinking
frame_9.png,217,388,409,395,Blinking
frame_10.png,218,388,409,393,Center
frame_11.png,219,389,410,395,Blinking
frame_12.png,218,387,410,394,Blinking
frame_13.png,217,388,409,395,Blinking
frame_14.png,217,389,409,395,Blinking
frame_15.png,217,389,408,395,Blinking
frame_16.png,217,388,409,394,Center
frame_17.png,217,388,409,394,Blinking
frame_18.png,218,388,409,393,Blinking
frame_19.png,218,388,409,395,Blinking
frame_20.png,219,389,410,395,Blinking
frame_21.png,220,388,410,395,Blinking
frame_22.png,219,389,410,395,Blinking
frame_23.png,219,389,411,395,Blinking
frame_24.png,220,389,411,395,Blinking
frame_25.png,219,389,411,395,Blinking
frame_26.png,219,389,410,394,Blinking
frame_27.png,218,390,409,395,Blinking
frame_28.png,217,390,408,396,Blinking
frame_29.png,215,391,407,397,Blinking
frame_30.png,215,392,407,398,Center
frame_31.png,214,392,407,397,Blinking
frame_32.png,213,393,407,396,Blinking
frame_33.png,214,394,407,396,Blinking
frame_34.png,214,393,408,397,Blinking
frame_35.png,214,394,408,397,Blinking
frame_36.png,214,394,408,398,Blinking
frame_37.png,216,393,410,398,Blinking
frame_38.png,218,393,412,396,Center
frame_39.png,219,391,414,396,Center
frame_40.png,221,392,414,397,Blinking
frame_41.png,221,392,415,398,Center
frame_42.png,223,393,416,397,Blinking
frame_43.png,223,392,416,398,Center
frame_44.png,222,392,416,397,Blinking
frame_45.png,223,393,416,399,Center
frame_46.png,223,393,415,399,Blinking
frame_47.png,221,394,413,400,Center
frame_48.png,217,395,408,399,Blinking
frame_49.png,216,393,408,398,Blinking
frame_50.png,216,393,408,397,Blinking
frame_51.png,215,394,407,398,Blinking
frame_52.png,215,394,407,398,Blinking
frame_53.png,219,393,411,398,Blinking
frame_54.png,224,392,417,398,Blinking
frame_55.png,225,394,418,401,Blinking
frame_56.png,224,393,417,399,Center
frame_57.png,223,394,417,400,Center
frame_58.png,223,394,417,398,Blinking
frame_59.png,222,394,417,398,Center
frame_60.png,222,392,417,399,Blinking
frame_61.png,222,395,417,399,Center
frame_62.png,222,393,417,398,Blinking
frame_63.png,221,394,418,398,Blinking
frame_64.png,221,394,417,397,Center
frame_65.png,222,396,418,399,Blinking
frame_66.png,221,392,417,395,Blinking
frame_67.png,219,393,415,396,Center
frame_68.png,217,390,412,394,Blinking
frame_69.png,215,392,411,394,Blinking
frame_70.png,215,391,411,394,Blinking
frame_71.png,214,391,413,394,Blinking
frame_72.png,215,392,415,396,Blinking
frame_73.png,214,393,411,396,Blinking
frame_74.png,214,391,409,395,Blinking
frame_75.png,213,392,410,395,Center
frame_76.png,214,392,410,395,Center
frame_77.png,214,391,410,394,Blinking
frame_78.png,214,393,410,395,Center
frame_79.png,213,391,410,394,Blinking
frame_80.png,212,392,410,396,Center
frame_81.png,213,393,410,395,Center
frame_82.png,213,392,411,394,Blinking
frame_83.png,214,391,411,393,Blinking
frame_84.png,215,390,412,393,Blinking
frame_85.png,216,391,414,393,Center
frame_86.png,218,389,414,391,Blinking
frame_87.png,218,388,414,390,Blinking
frame_88.png,216,388,413,390,Blinking
frame_89.png,215,388,413,390,Blinking
frame_90.png,216,388,412,389,Blinking
frame_91.png,217,385,413,388,Blinking
frame_92.png,218,388,415,390,Blinking
frame_93.png,220,388,418,390,Center
frame_94.png,224,387,421,389,Center
frame_95.png,228,386,426,387,Blinking
frame_96.png,231,388,428,389,Center
frame_97.png,232,388,429,389,Blinking
frame_98.png,232,387,429,387,Blinking
frame_99.png,231,390,428,391,Blinking
frame_100.png,228,390,426,392,Blinking
frame_101.png,226,387,423,391,Blinking
frame_102.png,225,389,422,391,Center
frame_103.png,223,388,421,392,Blinking
frame_104.png,222,388,419,391,Blinking
frame_105.png,224,386,421,389,Blinking
frame_106.png,228,388,425,390,Center
frame_107.png,233,386,429,389,Blinking
frame_108.png,235,387,432,388,Blinking
frame_109.png,237,387,434,388,Blinking
frame_110.png,239,389,435,389,Blinking
frame_111.png,239,391,436,392,Center
frame_112.png,236,392,433,393,Blinking
frame_113.png,232,397,429,397,Blinking
frame_114.png,232,399,430,401,Center
frame_115.png,231,399,430,402,Blinking
frame_116.png,230,399,429,402,Blinking
frame_117.png,228,400,426,401,Blinking
frame_118.png,227,401,427,404,Blinking
frame_119.png,226,401,425,406,Center
frame_120.png,226,401,425,407,Center
frame_121.png,226,400,425,403,Center
frame_122.png,226,397,425,401,Blinking
frame_123.png,227,398,424,403,Center
frame_124.png,228,397,425,400,Center
frame_125.png,228,399,422,403,Center
frame_126.png,229,398,423,402,Center
frame_127.png,228,397,423,403,Center
frame_128.png,229,396,423,401,Center
frame_129.png,229,392,422,398,Blinking
frame_130.png,226,397,421,402,Center
frame_131.png,224,395,419,400,Blinking
frame_132.png,223,395,418,400,Center
frame_133.png,223,395,417,400,Blinking
frame_134.png,221,398,416,403,Blinking
frame_135.png,219,398,414,402,Blinking
frame_136.png,217,401,412,405,Blinking
frame_137.png,215,405,410,409,Center
frame_138.png,212,404,408,410,Blinking
frame_139.png,210,403,405,407,Center
frame_140.png,212,401,406,405,Blinking
frame_141.png,212,402,407,406,Center
frame_142.png,213,401,407,405,Blinking
frame_143.png,215,399,410,402,Blinking
frame_144.png,216,400,411,403,Center
frame_145.png,216,400,413,404,Center
frame_146.png,216,401,412,405,Center
frame_147.png,216,400,413,404,Center
frame_148.png,217,400,415,406,Center
frame_149.png,220,399,415,403,Center
frame_150.png,220,399,414,403,Center
frame_151.png,220,400,415,405,Center
frame_152.png,221,398,416,402,Center
frame_153.png,222,398,417,402,Center
frame_154.png,222,399,417,404,Center
frame_155.png,222,400,418,404,Center
frame_156.png,222,399,418,404,Center
frame_157.png,222,400,419,403,Center
frame_158.png,222,400,418,404,Center
frame_159.png,222,399,418,404,Center
frame_160.png,222,399,419,401,Center
frame_161.png,221,400,418,402,Center
frame_162.png,221,400,419,405,Center
frame_163.png,222,400,419,403,Center
frame_164.png,223,400,420,406,Blinking
frame_165.png,223,401,418,404,Center
frame_166.png,223,400,420,404,Center
frame_167.png,225,399,420,402,Blinking
frame_168.png,225,400,420,404,Center
frame_169.png,225,400,420,404,Center
frame_170.png,226,400,420,404,Center
frame_171.png,224,398,420,402,Blinking
frame_172.png,223,399,418,403,Blinking
frame_173.png,224,401,419,405,Center
frame_174.png,225,399,420,402,Blinking
frame_175.png,225,399,419,403,Blinking
frame_176.png,225,399,420,403,Center
frame_177.png,226,398,420,403,Blinking
frame_178.png,225,398,420,403,Blinking
frame_179.png,225,399,419,403,Center
frame_180.png,226,398,421,400,Blinking
frame_181.png,225,399,420,403,Blinking
frame_182.png,223,400,418,402,Center
frame_183.png,222,401,416,405,Center
frame_184.png,223,402,418,407,Center
frame_185.png,223,401,418,405,Center
frame_186.png,222,400,419,405,Center
frame_187.png,223,401,419,406,Center
frame_188.png,224,400,420,404,Center
frame_189.png,224,399,420,404,Center
frame_190.png,224,400,420,404,Blinking
frame_191.png,224,400,420,405,Center
frame_192.png,225,399,421,403,Center
frame_193.png,228,402,423,404,Center
frame_194.png,230,401,424,404,Center
frame_195.png,230,401,425,405,Center
frame_196.png,230,401,431,405,Blinking
frame_197.png,231,401,425,404,Blinking
frame_198.png,234,401,425,405,Blinking
frame_199.png,232,403,425,406,Center
frame_200.png,235,402,425,405,Center
frame_201.png,237,402,424,406,Blinking
frame_202.png,235,403,424,407,Center
frame_203.png,234,404,424,407,Blinking
frame_204.png,235,403,423,407,Blinking
frame_205.png,235,402,423,405,Blinking
frame_206.png,234,402,423,406,Blinking
frame_207.png,236,402,423,407,Blinking
frame_208.png,233,404,422,408,Blinking
frame_209.png,232,404,424,408,Blinking
frame_210.png,233,401,427,405,Blinking
frame_211.png,233,402,426,407,Blinking
frame_212.png,232,404,426,407,Center
frame_213.png,231,405,425,409,Center
frame_214.png,230,404,425,409,Blinking
frame_215.png,230,405,423,410,Center
frame_216.png,227,401,422,407,Blinking
frame_217.png,222,401,417,406,Center
frame_218.png,222,402,419,407,Center
