Image File Name,Frame Number,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Direction,K Value,Behaviour,Fixation Level,Saccade Level
frame_0.png,0,256,484,457,475,Center,-9.617692030835672,exploratory,0.0,9.617692030835672
frame_1.png,1,258,490,472,478,Center,-2.217890913132381,exploratory,0.0,6.628873487737965
frame_2.png,2,259,493,473,482,Center,-1.9988751663186226,exploratory,0.0,5.6326006400387305
frame_3.png,3,261,497,473,485,Center,-2.471848148230282,exploratory,0.0,5.098573220073739
frame_4.png,4,262,505,473,493,Blinking,-0.7272310376470404,exploratory,0.0,210.4597305940961
frame_5.png,5,0.0,0.0,0.0,0.0,Unknown,-1.4414367115630446,exploratory,0.0,420.3927210353865
frame_6.png,6,251,524,481,510,Blinking,-1.5320267153339746,exploratory,0.0,428.7372530248468
frame_7.png,7,285,517,512,505,Blinking,-0.812705733081467,exploratory,0.0,231.17662219127098
frame_8.png,8,277,516,466,503,Blinking,-1.8575501289849274,exploratory,0.0,21.893670083016957
frame_9.png,9,263,517,469,504,Blinking,-1.1142462508622564,exploratory,0.0,11.944455542815271
frame_10.png,10,262,514,474,502,Blinking,-4.316645067604708,exploratory,0.0,4.274286978871724
frame_11.png,11,262,510,475,498,Blinking,-5.481484385435708,exploratory,0.0,4.085876267808715
frame_12.png,12,262,505,476,493,Blinking,-9.143041211817444,exploratory,0.0,4.3520222282365735
frame_13.png,13,262,502,476,488,Center,-8.025007223067549,exploratory,1.118033988749895,4.3520222282365735
frame_14.png,14,262,501,477,487,Center,inf,concentrated,1.118033988749895,4.3520222282365735
frame_15.png,15,263,503,477,487,Center,inf,concentrated,1.118033988749895,4.3520222282365735
frame_16.png,16,263,504,478,488,Center,-2.2267216334919153,exploratory,1.24535599249993,4.3520222282365735
frame_17.png,17,264,502,477,487,Center,-1.5196148523053674,exploratory,1.372677996249965,4.3520222282365735
frame_18.png,18,265,502,479,487,Center,4.616043298400217,concentrated,1.372677996249965,3.6954968744564254
frame_19.png,19,265,500,480,485,Center,4.616043298400216,concentrated,1.372677996249965,3.6954968744564254
frame_20.png,20,265,499,479,484,Center,3.953173040146267,concentrated,1.372677996249965,3.3538509376029437
frame_21.png,21,266,504,478,487,Center,4.729752275746796,concentrated,1.372677996249965,2.6871842709362768
frame_22.png,22,265,506,479,489,Center,4.794999234765886,concentrated,1.372677996249965,2.6666666666666665
frame_23.png,23,265,504,479,487,Center,2.842268287886954,concentrated,1.372677996249965,2.3471270883830364
frame_24.png,24,265,501,478,484,Center,1.6668277782550192,concentrated,1.372677996249965,2.5779878895721207
frame_25.png,25,265,498,476,482,Center,2.700202137498726,concentrated,1.372677996249965,3.335321847125042
frame_26.png,26,265,494,479,478,Center,0.3365061526157582,concentrated,1.4736032088272966,3.335321847125042
frame_27.png,27,265,492,477,477,Center,0.5394518306662288,concentrated,1.4736032088272966,3.830758948431575
frame_28.png,28,266,488,477,472,Center,-20.522091229705335,exploratory,1.4736032088272966,4.307600022448379
frame_29.png,29,267,484,478,468,Center,-1.61666458374079,exploratory,1.4736032088272966,3.93769195161825
frame_30.png,30,267,481,480,465,Center,-1.6161189286769915,exploratory,1.5006494855220265,3.93769195161825
