Image Filename,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Gaze Direction
frame_0.png,1035,489,1288,494,Blinking
frame_1.png,1036,488,1288,492,Blinking
frame_2.png,1036,487,1289,492,Blinking
frame_3.png,1036,486,1290,491,Blinking
frame_4.png,1037,487,1291,491,Blinking
frame_5.png,1037,487,1291,492,Blinking
frame_6.png,1038,488,1291,492,Blinking
frame_7.png,1039,488,1291,493,Blinking
frame_8.png,1038,489,1290,493,Blinking
frame_9.png,1038,489,1290,494,Blinking
frame_10.png,1037,490,1290,494,Blinking
frame_11.png,1036,491,1289,494,Blinking
frame_12.png,1035,493,1288,497,Blinking
frame_13.png,1035,494,1287,496,Blinking
frame_14.png,1035,497,1287,499,Blinking
frame_15.png,1034,500,1286,501,Blinking
frame_16.png,1034,500,1286,502,Blinking
frame_17.png,1033,501,1285,502,Blinking
frame_18.png,1032,502,1285,505,Blinking
frame_19.png,1032,503,1284,504,Blinking
frame_20.png,1030,504,1283,506,Blinking
frame_21.png,1030,504,1282,506,Blinking
frame_22.png,1029,504,1282,507,Blinking
frame_23.png,1029,504,1280,508,Blinking
frame_24.png,1028,506,1279,508,Blinking
frame_25.png,1027,507,1279,509,Blinking
frame_26.png,1026,507,1279,509,Blinking
frame_27.png,1026,507,1278,510,Blinking
frame_28.png,1025,509,1278,511,Blinking
frame_29.png,1025,508,1277,510,Blinking
frame_30.png,1024,509,1277,511,Blinking
frame_31.png,1023,511,1276,512,Blinking
frame_32.png,1022,510,1276,512,Blinking
frame_33.png,1022,510,1275,512,Blinking
frame_34.png,1022,508,1275,511,Blinking
frame_35.png,1022,509,1275,510,Blinking
frame_36.png,1022,508,1275,510,Blinking
frame_37.png,1021,508,1274,511,Blinking
frame_38.png,1021,509,1274,511,Blinking
frame_39.png,1021,509,1275,511,Blinking
frame_40.png,1021,509,1274,511,Blinking
frame_41.png,1020,508,1274,510,Blinking
frame_42.png,1021,508,1274,511,Blinking
frame_43.png,1020,509,1274,512,Blinking
frame_44.png,1020,509,1274,512,Blinking
frame_45.png,1020,510,1274,512,Blinking
frame_46.png,1021,510,1274,513,Blinking
frame_47.png,1020,510,1275,513,Blinking
frame_48.png,1020,509,1275,512,Blinking
frame_49.png,1020,508,1275,510,Blinking
frame_50.png,1019,506,1275,509,Blinking
frame_51.png,1018,506,1274,509,Blinking
frame_52.png,1017,506,1274,509,Blinking
frame_53.png,1016,506,1273,510,Blinking
frame_54.png,1015,508,1272,511,Blinking
frame_55.png,1013,509,1272,512,Blinking
frame_56.png,1012,510,1270,512,Blinking
frame_57.png,1009,512,1268,512,Blinking
frame_58.png,1009,512,1267,513,Blinking
frame_59.png,1008,511,1266,513,Blinking
frame_60.png,1007,512,1265,513,Blinking
frame_61.png,1007,512,1265,513,Blinking
frame_62.png,1015,512,1272,514,Blinking
frame_63.png,1018,511,1275,514,Blinking
frame_64.png,1018,511,1275,514,Blinking
frame_65.png,1019,512,1276,514,Blinking
frame_66.png,1019,512,1276,515,Blinking
frame_67.png,1020,513,1278,516,Blinking
frame_68.png,1022,514,1279,517,Blinking
frame_69.png,1025,515,1281,518,Blinking
frame_70.png,1028,516,1283,518,Blinking
frame_71.png,1031,515,1286,518,Blinking
frame_72.png,1033,512,1288,517,Blinking
frame_73.png,1036,509,1291,515,Blinking
frame_74.png,1038,508,1292,513,Blinking
frame_75.png,1040,506,1294,512,Blinking
frame_76.png,1041,507,1295,513,Blinking
frame_77.png,1043,508,1296,515,Blinking
frame_78.png,1044,509,1296,515,Blinking
frame_79.png,1044,511,1297,517,Blinking
frame_80.png,1045,513,1298,518,Blinking
frame_81.png,1045,513,1298,519,Blinking
frame_82.png,1046,515,1299,521,Blinking
frame_83.png,1046,517,1299,523,Blinking
frame_84.png,1047,517,1300,523,Blinking
