Image Filename,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Gaze Direction
frame_0.png,140,328,302,327,Center
frame_1.png,140,329,301,328,Center
frame_2.png,140,329,301,328,Center
frame_3.png,140,328,301,327,Center
frame_4.png,139,335,302,327,Center
frame_5.png,140,335,302,326,Center
frame_6.png,140,335,303,326,Center
frame_7.png,138,336,299,326,Center
frame_8.png,137,336,299,327,Center
frame_9.png,136,336,298,327,Center
frame_10.png,135,336,296,326,Center
frame_11.png,135,336,296,326,Center
frame_12.png,135,335,295,326,Center
frame_13.png,134,336,294,327,Center
frame_14.png,133,336,293,327,Center
frame_15.png,131,335,290,327,Center
frame_16.png,129,335,288,326,Center
frame_17.png,127,334,286,326,Center
frame_18.png,124,334,284,325,Center
frame_19.png,122,333,282,324,Center
frame_20.png,119,333,279,324,Center
frame_21.png,117,333,274,325,Center
frame_22.png,114,333,272,326,Center
frame_23.png,110,334,268,327,Center
frame_24.png,107,334,265,327,Center
frame_25.png,104,333,261,327,Center
frame_26.png,101,333,258,326,Center
frame_27.png,98,333,255,326,Center
frame_28.png,96,332,253,326,Center
frame_29.png,93,333,251,326,Center
frame_30.png,91,333,248,326,Center
frame_31.png,89,334,245,329,Center
frame_32.png,86,335,242,329,Center
frame_33.png,74,319,240,330,Center
frame_34.png,81,336,239,331,Center
frame_35.png,80,337,237,331,Center
frame_36.png,79,337,235,332,Center
frame_37.png,78,337,237,333,Center
frame_38.png,77,337,235,332,Center
frame_39.png,77,337,234,332,Center
frame_40.png,77,338,233,331,Center
frame_41.png,78,338,236,333,Center
frame_42.png,78,339,238,334,Center
frame_43.png,79,339,238,333,Center
frame_44.png,80,339,239,334,Center
frame_45.png,81,340,236,333,Center
frame_46.png,80,340,238,334,Center
frame_47.png,80,340,236,333,Center
frame_48.png,79,333,235,333,Center
frame_49.png,79,333,234,332,Center
frame_50.png,79,333,236,329,Center
frame_51.png,80,332,234,331,Center
frame_52.png,80,338,235,329,Center
frame_53.png,79,338,233,331,Center
frame_54.png,79,339,234,329,Center
frame_55.png,78,339,232,332,Center
frame_56.png,77,339,232,331,Center
frame_57.png,79,334,234,333,Center
frame_58.png,79,340,236,332,Center
frame_59.png,79,340,236,334,Center
frame_60.png,79,341,237,335,Center
frame_61.png,79,341,238,336,Center
frame_62.png,79,341,237,333,Center
frame_63.png,79,342,234,336,Center
frame_64.png,79,342,238,336,Center
frame_65.png,79,342,234,335,Center
frame_66.png,79,342,239,338,Center
