Image Filename,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Gaze Direction
frame_0.png,148,342,267,324,Center
frame_1.png,147,342,268,325,Center
frame_2.png,148,342,269,325,Right
frame_3.png,147,342,267,324,Center
frame_4.png,149,342,269,324,Right
frame_5.png,149,340,269,323,Center
frame_6.png,150,339,269,324,Center
frame_7.png,150,345,270,326,Center
frame_8.png,151,343,270,325,Right
frame_9.png,149,341,271,323,Center
frame_10.png,151,345,269,326,Right
frame_11.png,148,344,270,326,Right
frame_12.png,151,344,270,326,Center
frame_13.png,152,344,270,326,Center
frame_14.png,151,344,270,327,Right
frame_15.png,149,347,269,329,Center
frame_16.png,150,347,271,328,Right
frame_17.png,150,346,271,330,Center
frame_18.png,151,347,272,331,Center
frame_19.png,151,345,272,327,Right
frame_20.png,157,350,273,329,Center
frame_21.png,150,346,272,329,Right
frame_22.png,154,350,273,331,Center
frame_23.png,155,350,273,330,Center
frame_24.png,152,349,273,330,Center
frame_25.png,163,352,276,337,Center
frame_26.png,160,353,276,335,Center
frame_27.png,161,351,277,337,Center
frame_28.png,164,352,276,337,Center
frame_29.png,163,352,278,339,Center
frame_30.png,162,350,277,333,Center
frame_31.png,165,354,277,338,Center
frame_32.png,159,352,280,339,Center
frame_33.png,160,353,279,339,Center
frame_34.png,160,355,277,341,Center
frame_35.png,154,351,274,333,Center
frame_36.png,156,353,275,334,Center
frame_37.png,155,351,275,334,Center
frame_38.png,156,353,275,335,Center
frame_39.png,150,350,274,333,Center
frame_40.png,151,351,274,333,Center
frame_41.png,158,352,274,335,Center
frame_42.png,160,352,274,334,Center
frame_43.png,149,343,274,329,Center
frame_44.png,152,353,273,334,Center
frame_45.png,160,353,275,336,Center
frame_46.png,160,353,275,336,Center
frame_47.png,152,346,278,332,Center
frame_48.png,150,344,278,331,Center
frame_49.png,150,343,274,328,Center
frame_50.png,150,345,273,332,Center
frame_51.png,149,343,274,327,Center
frame_52.png,150,352,274,336,Center
frame_53.png,156,353,274,338,Center
frame_54.png,160,354,275,341,Center
frame_55.png,156,353,273,339,Center
frame_56.png,150,352,273,336,Center
frame_57.png,151,344,272,332,Center
frame_58.png,157,353,274,337,Center
frame_59.png,155,353,275,337,Center
frame_60.png,153,352,275,338,Center
frame_61.png,156,355,277,340,Center
frame_62.png,153,354,276,339,Center
frame_63.png,157,355,278,340,Center
frame_64.png,158,354,276,338,Center
frame_65.png,156,355,278,340,Center
frame_66.png,157,354,277,337,Center
frame_67.png,155,352,276,336,Center
frame_68.png,153,350,275,335,Center
frame_69.png,151,352,275,335,Center
frame_70.png,155,353,276,337,Center
frame_71.png,156,352,274,336,Center
frame_72.png,147,347,272,335,Center
frame_73.png,158,354,274,338,Center
frame_74.png,150,347,273,334,Center
frame_75.png,150,345,270,335,Center
frame_76.png,148,348,272,336,Center
frame_77.png,148,352,273,336,Center
frame_78.png,145,354,270,337,Blinking
frame_79.png,157,355,272,339,Center
frame_80.png,146,350,269,336,Center
frame_81.png,147,349,269,335,Center
frame_82.png,147,347,269,336,Center
frame_83.png,147,345,268,337,Center
frame_84.png,147,347,269,337,Center
frame_85.png,146,350,270,336,Center
frame_86.png,151,355,270,338,Center
frame_87.png,144,353,269,336,Center
frame_88.png,142,346,267,335,Center
frame_89.png,146,354,269,336,Center
frame_90.png,152,355,269,337,Center
frame_91.png,155,356,270,337,Center
frame_92.png,156,356,272,338,Center
frame_93.png,142,350,270,337,Center
frame_94.png,154,355,272,339,Center
frame_95.png,151,356,272,338,Center
frame_96.png,153,355,273,338,Center
frame_97.png,155,356,272,338,Center
frame_98.png,145,353,271,337,Center
frame_99.png,147,355,273,338,Center
frame_100.png,150,355,272,338,Center
frame_101.png,146,354,272,338,Center
frame_102.png,146,355,271,338,Center
frame_103.png,146,354,271,338,Center
frame_104.png,146,354,272,338,Center
frame_105.png,142,352,270,337,Center
frame_106.png,146,354,271,338,Center
frame_107.png,156,356,273,340,Center
frame_108.png,155,357,272,339,Center
frame_109.png,153,357,272,340,Center
frame_110.png,145,355,271,340,Center
frame_111.png,153,355,271,339,Center
frame_112.png,152,356,274,341,Center
frame_113.png,147,354,271,338,Center
frame_114.png,151,356,272,340,Center
frame_115.png,146,354,273,340,Center
frame_116.png,155,356,272,339,Center
frame_117.png,146,354,273,339,Center
frame_118.png,144,354,273,341,Center
frame_119.png,156,356,272,341,Center
frame_120.png,146,354,272,338,Center
frame_121.png,148,355,273,339,Center
frame_122.png,147,356,275,341,Blinking
frame_123.png,145,354,272,340,Blinking
frame_124.png,148,355,274,340,Center
frame_125.png,147,355,273,339,Center
frame_126.png,155,356,277,341,Center
frame_127.png,145,354,273,338,Blinking
frame_128.png,146,354,275,339,Center
frame_129.png,146,354,276,342,Blinking
frame_130.png,157,356,274,339,Center
frame_131.png,146,354,274,340,Center
frame_132.png,152,355,274,343,Center
frame_133.png,155,356,273,340,Center
frame_134.png,155,356,276,342,Center
frame_135.png,156,357,274,342,Center
frame_136.png,147,355,274,339,Blinking
frame_137.png,155,358,275,342,Center
frame_138.png,154,356,274,340,Center
frame_139.png,141,351,269,336,Center
frame_140.png,154,354,272,340,Center
frame_141.png,142,350,271,337,Center
frame_142.png,143,350,271,336,Right
frame_143.png,142,349,270,335,Right
frame_144.png,150,353,271,336,Center
frame_145.png,148,351,271,335,Center
frame_146.png,142,349,271,335,Center
frame_147.png,140,348,270,334,Center
frame_148.png,147,342,268,332,Center
frame_149.png,156,353,272,335,Center
frame_150.png,144,345,269,332,Center
frame_151.png,152,351,271,334,Center
frame_152.png,154,352,272,335,Center
frame_153.png,147,346,270,332,Center
frame_154.png,150,351,272,334,Center
frame_155.png,145,346,269,332,Center
frame_156.png,144,349,271,334,Center
frame_157.png,155,353,270,334,Center
frame_158.png,145,346,269,332,Center
frame_159.png,156,352,270,336,Center
frame_160.png,151,353,272,338,Center
frame_161.png,153,351,272,336,Center
frame_162.png,152,352,267,334,Center
frame_163.png,153,353,265,335,Center
frame_164.png,149,352,266,335,Center
frame_165.png,143,350,263,333,Center
frame_166.png,154,354,264,334,Center
frame_167.png,150,352,263,334,Center
frame_168.png,148,352,261,333,Center
frame_169.png,149,352,262,332,Center
frame_170.png,146,351,261,333,Center
