Image Filename,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Gaze Direction
frame_0.png,195,590,507,610,Blinking
frame_1.png,183,588,514,604,Blinking
frame_2.png,183,589,514,603,Blinking
frame_3.png,193,586,513,607,Blinking
frame_4.png,191,592,505,610,Blinking
frame_5.png,191,587,513,608,Center
frame_6.png,189,587,512,609,Center
frame_7.png,187,587,513,608,Center
frame_8.png,187,588,511,610,Center
frame_9.png,189,594,502,614,Blinking
frame_10.png,185,588,507,610,Center
frame_11.png,185,585,509,607,Center
frame_12.png,185,586,509,609,Center
frame_13.png,181,586,508,607,Center
frame_14.png,182,588,508,608,Blinking
frame_15.png,181,587,508,609,Center
frame_16.png,183,590,505,608,Center
frame_17.png,180,589,507,611,Blinking
frame_18.png,184,593,499,613,Blinking
frame_19.png,183,594,497,615,Blinking
frame_20.png,181,590,500,612,Blinking
frame_21.png,179,590,498,612,Blinking
frame_22.png,181,590,505,611,Blinking
frame_23.png,182,595,497,616,Blinking
frame_24.png,183,592,505,613,Center
frame_25.png,180,591,505,611,Blinking
frame_26.png,189,601,497,620,Blinking
frame_27.png,184,596,506,613,Blinking
frame_28.png,189,599,503,616,Blinking
frame_29.png,191,594,504,613,Blinking
frame_30.png,196,600,504,618,Blinking
frame_31.png,192,594,508,614,Blinking
frame_32.png,201,592,510,613,Blinking
frame_33.png,196,583,512,603,Blinking
frame_34.png,201,585,512,604,Blinking
frame_35.png,197,591,509,609,Blinking
frame_36.png,194,594,508,610,Blinking
frame_37.png,194,596,506,616,Blinking
frame_38.png,194,597,505,617,Blinking
frame_39.png,192,596,506,613,Blinking
frame_40.png,187,591,506,614,Blinking
frame_41.png,191,596,505,617,Blinking
frame_42.png,193,598,512,619,Blinking
frame_43.png,191,591,506,613,Blinking
frame_44.png,197,599,508,617,Blinking
frame_45.png,193,597,509,616,Blinking
frame_46.png,193,595,511,612,Blinking
frame_47.png,185,591,511,610,Blinking
frame_48.png,197,600,513,618,Blinking
frame_49.png,191,599,511,621,Blinking
frame_50.png,193,598,512,618,Blinking
frame_51.png,192,598,513,619,Blinking
frame_52.png,193,598,511,620,Blinking
frame_53.png,196,599,513,618,Blinking
frame_54.png,195,598,513,619,Blinking
frame_55.png,189,594,511,609,Blinking
