Image Filename,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Gaze Direction
frame_0.png,189,629,496,650,Blinking
frame_1.png,190,625,495,647,Blinking
frame_2.png,190,625,496,645,Center
frame_3.png,193,622,503,643,Blinking
frame_4.png,193,623,504,644,Center
frame_5.png,193,625,504,647,Blinking
frame_6.png,193,630,499,649,Blinking
frame_7.png,194,634,501,654,Blinking
frame_8.png,194,633,502,655,Center
frame_9.png,196,633,501,655,Center
frame_10.png,194,634,501,655,Blinking
frame_11.png,192,639,500,660,Center
frame_12.png,194,640,500,662,Center
frame_13.png,193,637,501,660,Center
frame_14.png,196,634,503,657,Blinking
frame_15.png,197,635,504,656,Center
frame_16.png,197,636,505,658,Center
frame_17.png,196,634,503,656,Blinking
frame_18.png,197,633,504,655,Center
frame_19.png,198,633,506,654,Center
frame_20.png,198,629,505,651,Center
frame_21.png,197,633,506,654,Center
frame_22.png,198,633,505,654,Center
frame_23.png,196,634,505,655,Center
frame_24.png,196,635,504,656,Center
frame_25.png,195,631,503,652,Center
frame_26.png,195,627,504,650,Center
frame_27.png,194,630,501,651,Blinking
frame_28.png,190,637,498,658,Blinking
frame_29.png,189,633,498,654,Center
frame_30.png,190,634,498,656,Center
frame_31.png,189,635,497,656,Blinking
frame_32.png,189,632,496,654,Center
frame_33.png,188,636,495,657,Center
frame_34.png,188,633,496,655,Center
frame_35.png,191,628,498,651,Center
frame_36.png,192,626,499,648,Center
frame_37.png,193,626,500,648,Center
frame_38.png,194,625,501,647,Center
frame_39.png,194,628,501,648,Center
frame_40.png,196,626,503,648,Center
frame_41.png,196,626,503,648,Center
frame_42.png,196,629,504,650,Center
frame_43.png,196,629,504,651,Center
frame_44.png,197,632,505,652,Center
frame_45.png,198,632,505,652,Center
frame_46.png,199,632,506,653,Center
frame_47.png,199,633,506,654,Center
frame_48.png,202,647,506,668,Blinking
frame_49.png,208,657,509,680,Blinking
frame_50.png,204,654,505,678,Blinking
frame_51.png,200,648,515,676,Blinking
frame_52.png,201,646,517,673,Center
frame_53.png,202,644,508,668,Center
frame_54.png,203,645,509,669,Blinking
frame_55.png,202,643,509,667,Blinking
frame_56.png,201,646,508,669,Center
frame_57.png,200,647,508,670,Center
frame_58.png,201,647,507,670,Center
frame_59.png,201,646,507,669,Center
frame_60.png,200,648,508,672,Center
frame_61.png,201,651,507,674,Center
frame_62.png,200,651,506,674,Center
frame_63.png,201,655,508,678,Center
frame_64.png,200,656,508,679,Center
frame_65.png,201,657,508,680,Center
frame_66.png,201,659,508,681,Center
frame_67.png,203,665,509,688,Center
frame_68.png,202,670,509,694,Center
frame_69.png,203,673,510,696,Center
frame_70.png,205,672,510,694,Center
frame_71.png,204,674,510,697,Center
