Image Filename,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Gaze Direction
frame_0.png,203,411,382,407,Blinking
frame_1.png,204,412,388,407,Blinking
frame_2.png,205,413,390,409,Blinking
frame_3.png,205,413,390,409,Blinking
frame_4.png,204,413,389,408,Blinking
frame_5.png,206,413,390,409,Blinking
frame_6.png,205,413,389,409,Blinking
frame_7.png,205,414,388,409,Blinking
frame_8.png,206,415,390,410,Blinking
frame_9.png,205,416,390,411,Blinking
frame_10.png,204,416,389,410,Blinking
frame_11.png,205,417,390,411,Blinking
frame_12.png,206,417,390,412,Blinking
frame_13.png,206,416,391,412,Blinking
frame_14.png,206,417,391,412,Blinking
frame_15.png,207,418,391,414,Blinking
frame_16.png,207,417,390,413,Blinking
frame_17.png,205,418,390,414,Blinking
frame_18.png,205,420,390,414,Blinking
frame_19.png,206,419,390,415,Blinking
frame_20.png,205,419,390,414,Blinking
frame_21.png,206,420,391,415,Blinking
frame_22.png,207,420,391,415,Blinking
frame_23.png,208,421,392,416,Blinking
frame_24.png,209,422,392,418,Blinking
frame_25.png,207,420,391,417,Blinking
frame_26.png,207,421,390,417,Blinking
frame_27.png,207,421,391,417,Blinking
frame_28.png,206,420,391,416,Blinking
frame_29.png,206,420,390,416,Blinking
frame_30.png,204,420,391,415,Blinking
frame_31.png,204,419,389,414,Blinking
frame_32.png,204,419,390,414,Blinking
frame_33.png,204,418,389,414,Blinking
frame_34.png,203,418,389,414,Blinking
frame_35.png,202,418,388,414,Blinking
frame_36.png,203,418,388,414,Blinking
frame_37.png,204,421,388,416,Blinking
frame_38.png,204,421,389,416,Blinking
frame_39.png,202,419,386,414,Blinking
frame_40.png,201,419,386,415,Blinking
frame_41.png,204,421,388,417,Blinking
frame_42.png,202,421,388,417,Blinking
frame_43.png,201,420,387,416,Blinking
frame_44.png,202,421,387,416,Blinking
frame_45.png,202,421,387,417,Blinking
frame_46.png,202,420,386,416,Blinking
frame_47.png,203,420,388,416,Blinking
frame_48.png,203,421,388,416,Blinking
frame_49.png,203,420,387,415,Blinking
frame_50.png,203,420,388,416,Blinking
frame_51.png,204,419,388,416,Blinking
frame_52.png,204,419,388,415,Blinking
frame_53.png,204,419,388,416,Blinking
frame_54.png,204,419,388,416,Blinking
frame_55.png,204,419,388,416,Blinking
frame_56.png,203,420,388,416,Blinking
frame_57.png,203,419,388,415,Blinking
frame_58.png,204,419,388,415,Blinking
frame_59.png,204,419,388,415,Blinking
frame_60.png,204,419,388,415,Blinking
frame_61.png,205,419,389,415,Blinking
frame_62.png,206,418,390,414,Blinking
frame_63.png,205,417,390,413,Blinking
frame_64.png,207,416,390,413,Blinking
frame_65.png,207,418,391,413,Blinking
frame_66.png,207,418,391,414,Blinking
frame_67.png,207,417,391,414,Blinking
frame_68.png,208,417,392,414,Blinking
frame_69.png,208,416,392,414,Blinking
frame_70.png,207,417,391,413,Blinking
frame_71.png,207,417,391,413,Blinking
frame_72.png,207,417,391,413,Blinking
frame_73.png,207,417,391,413,Blinking
frame_74.png,208,416,391,412,Blinking
frame_75.png,208,416,391,413,Blinking
frame_76.png,209,416,392,413,Blinking
frame_77.png,209,417,392,413,Blinking
frame_78.png,210,419,394,414,Blinking
frame_79.png,213,422,397,417,Blinking
frame_80.png,213,421,397,417,Blinking
frame_81.png,212,420,396,417,Blinking
frame_82.png,213,420,396,417,Blinking
frame_83.png,214,422,397,418,Blinking
frame_84.png,214,421,397,418,Blinking
frame_85.png,213,421,396,417,Blinking
frame_86.png,213,421,395,418,Blinking
frame_87.png,213,422,396,418,Blinking
frame_88.png,214,422,396,418,Blinking
frame_89.png,213,422,396,418,Blinking
frame_90.png,214,422,396,418,Blinking
frame_91.png,213,421,397,417,Blinking
frame_92.png,212,420,394,416,Blinking
frame_93.png,212,420,395,416,Blinking
frame_94.png,212,422,396,417,Blinking
frame_95.png,212,421,396,416,Blinking
frame_96.png,211,420,396,416,Blinking
frame_97.png,211,421,395,416,Blinking
frame_98.png,212,420,395,416,Blinking
frame_99.png,212,420,396,416,Blinking
frame_100.png,213,420,396,416,Blinking
frame_101.png,213,418,396,415,Blinking
frame_102.png,214,418,397,415,Blinking
frame_103.png,214,419,397,415,Blinking
frame_104.png,214,419,397,415,Blinking
frame_105.png,215,419,399,414,Blinking
frame_106.png,215,418,399,414,Blinking
frame_107.png,215,418,399,415,Blinking
frame_108.png,215,418,398,414,Blinking
frame_109.png,217,418,400,415,Blinking
frame_110.png,217,419,400,415,Blinking
frame_111.png,215,417,398,414,Blinking
frame_112.png,215,418,399,415,Blinking
frame_113.png,217,420,400,416,Blinking
frame_114.png,217,418,399,415,Blinking
frame_115.png,217,419,400,415,Blinking
frame_116.png,217,420,400,416,Blinking
frame_117.png,218,420,401,417,Blinking
frame_118.png,217,421,402,417,Blinking
frame_119.png,217,421,401,417,Blinking
frame_120.png,218,421,401,417,Blinking
frame_121.png,218,421,401,417,Blinking
frame_122.png,219,422,402,418,Blinking
frame_123.png,219,421,402,418,Blinking
frame_124.png,218,421,402,418,Blinking
frame_125.png,219,422,402,418,Blinking
frame_126.png,218,422,402,418,Blinking
frame_127.png,218,420,401,417,Blinking
frame_128.png,219,422,402,418,Blinking
frame_129.png,220,422,402,418,Blinking
frame_130.png,219,421,401,418,Blinking
frame_131.png,218,421,402,417,Blinking
frame_132.png,219,421,401,418,Blinking
frame_133.png,218,421,401,417,Blinking
frame_134.png,219,421,402,418,Blinking
frame_135.png,218,421,401,417,Blinking
frame_136.png,218,420,401,417,Blinking
frame_137.png,218,420,401,417,Blinking
frame_138.png,217,420,400,416,Blinking
frame_139.png,216,419,399,415,Blinking
frame_140.png,216,419,399,415,Blinking
frame_141.png,216,419,400,415,Blinking
frame_142.png,215,417,398,413,Blinking
frame_143.png,214,417,398,413,Blinking
frame_144.png,215,417,398,413,Blinking
frame_145.png,215,417,398,413,Blinking
frame_146.png,216,418,399,413,Blinking
frame_147.png,216,418,400,414,Blinking
frame_148.png,216,417,400,413,Blinking
frame_149.png,217,417,400,414,Blinking
frame_150.png,219,420,400,415,Blinking
frame_151.png,233,419,390,414,Blinking
frame_152.png,,,,,Unknown
frame_153.png,,,,,Unknown
frame_154.png,224,420,406,419,Blinking
frame_155.png,220,420,402,415,Blinking
frame_156.png,220,418,403,414,Blinking
frame_157.png,218,417,400,412,Blinking
frame_158.png,217,414,399,410,Blinking
frame_159.png,215,413,398,408,Blinking
frame_160.png,215,412,398,408,Blinking
frame_161.png,216,413,398,410,Blinking
frame_162.png,216,414,400,409,Blinking
frame_163.png,215,413,400,409,Blinking
frame_164.png,215,413,398,409,Blinking
frame_165.png,217,413,399,409,Blinking
