Image Filename,Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y,Gaze Direction
frame_0.png,203,292,522,288,Blinking
frame_1.png,217,297,526,286,Blinking
frame_2.png,218,298,528,285,Blinking
frame_3.png,216,296,528,286,Blinking
frame_4.png,221,302,528,285,Blinking
frame_5.png,220,313,528,286,Blinking
frame_6.png,221,317,529,291,Blinking
frame_7.png,216,301,530,288,Center
frame_8.png,221,300,542,280,Center
frame_9.png,217,298,531,291,Center
frame_10.png,248,298,533,292,Center
frame_11.png,223,303,542,283,Center
frame_12.png,220,304,542,284,Center
frame_13.png,222,304,532,296,Center
frame_14.png,226,302,533,288,Center
frame_15.png,215,310,530,294,Center
frame_16.png,206,306,525,296,Center
frame_17.png,218,308,522,303,Center
frame_18.png,214,315,519,307,Center
frame_19.png,214,325,513,323,Center
frame_20.png,199,337,524,318,Center
frame_21.png,209,340,510,330,Blinking
frame_22.png,219,363,501,347,Blinking
frame_23.png,223,358,495,341,Blinking
frame_24.png,218,354,500,338,Blinking
frame_25.png,202,353,505,335,Blinking
frame_26.png,195,342,502,330,Blinking
frame_27.png,201,352,506,330,Blinking
frame_28.png,186,332,505,324,Center
frame_29.png,202,330,509,322,Center
frame_30.png,198,335,517,312,Center
frame_31.png,197,331,508,322,Blinking
frame_32.png,194,328,508,321,Center
frame_33.png,206,328,516,314,Center
frame_34.png,199,329,510,318,Blinking
frame_35.png,214,330,511,318,Center
frame_36.png,194,329,511,320,Center
frame_37.png,202,332,512,319,Center
frame_38.png,191,348,510,328,Blinking
frame_39.png,200,333,509,326,Center
frame_40.png,205,325,507,322,Center
frame_41.png,210,318,509,316,Center
frame_42.png,214,304,515,302,Center
frame_43.png,219,293,521,291,Center
frame_44.png,224,286,528,284,Center
frame_45.png,218,289,535,282,Center
frame_46.png,232,285,537,284,Center
frame_47.png,218,296,537,289,Center
frame_48.png,230,303,536,289,Center
frame_49.png,231,298,536,286,Center
frame_50.png,230,288,536,285,Center
frame_51.png,231,283,549,274,Center
frame_52.png,233,279,540,277,Center
frame_53.png,223,288,541,273,Center
frame_54.png,220,290,539,276,Center
frame_55.png,219,288,539,274,Center
frame_56.png,220,291,539,276,Center
frame_57.png,226,291,538,276,Center
frame_58.png,227,291,538,275,Center
frame_59.png,218,284,534,279,Center
frame_60.png,219,288,534,276,Center
frame_61.png,218,286,533,275,Center
frame_62.png,217,282,534,270,Center
frame_63.png,225,278,539,262,Center
frame_64.png,229,274,542,260,Center
frame_65.png,221,268,537,265,Center
frame_66.png,225,268,533,266,Center
frame_67.png,227,282,521,270,Center
frame_68.png,224,282,521,270,Blinking
frame_69.png,221,288,519,271,Blinking
frame_70.png,229,269,531,267,Center
frame_71.png,219,274,541,267,Center
frame_72.png,218,281,538,276,Center
frame_73.png,207,288,535,274,Center
frame_74.png,220,281,538,274,Center
frame_75.png,221,278,540,274,Center
frame_76.png,222,275,544,269,Center
frame_77.png,210,279,544,268,Center
frame_78.png,191,288,541,271,Blinking
frame_79.png,218,277,529,277,Center
frame_80.png,211,285,530,279,Center
frame_81.png,225,284,530,281,Center
frame_82.png,212,289,531,283,Center
frame_83.png,215,287,532,282,Center
frame_84.png,210,288,533,279,Center
frame_85.png,214,288,533,282,Blinking
frame_86.png,213,289,533,282,Center
frame_87.png,214,289,532,282,Center
frame_88.png,212,290,544,278,Center
frame_89.png,215,290,533,284,Center
frame_90.png,223,282,544,274,Center
frame_91.png,223,278,543,270,Center
frame_92.png,222,275,542,270,Center
frame_93.png,209,276,530,271,Center
frame_94.png,210,276,529,270,Center
frame_95.png,206,275,529,269,Center
frame_96.png,209,276,528,269,Center
frame_97.png,212,276,525,270,Center
frame_98.png,204,281,525,272,Center
frame_99.png,207,280,536,270,Center
frame_100.png,215,275,532,264,Center
frame_101.png,205,279,535,265,Center
frame_102.png,201,282,534,266,Center
frame_103.png,215,277,534,266,Blinking
frame_104.png,207,283,534,268,Center
frame_105.png,213,280,534,269,Center
frame_106.png,200,286,533,270,Center
frame_107.png,202,288,530,274,Center
frame_108.png,179,297,525,289,Center
frame_109.png,196,286,529,276,Center
frame_110.png,192,291,524,284,Center
frame_111.png,200,280,529,270,Center
frame_112.png,206,275,530,264,Center
frame_113.png,195,286,528,269,Center
frame_114.png,190,287,525,271,Center
frame_115.png,205,284,526,274,Center
frame_116.png,195,291,526,276,Center
